"last_name, first_name","player_id","year","ab","pa","home_run","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","woba","avg_swing_speed","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","whiff_percent"
"Berti, Jon",542932,2023,388,424,7,18.2,".294",".405",".344","0.749","0.111",".349","2",".325","72.3","7.4","85.4","2.4",29.7,4.7,3.5,19.9
"Cowser, Colton",681297,2023,61,77,0,28.6,".115",".148",".286","0.434","0.033",".175","2",".226","70.8","6.9","87.4","4.6",37.5,2.5,5,26.5
"Cordero, Franchy",614173,2023,69,71,6,35.2,".188",".478",".211","0.689","0.290",".184","0",".286","78.1","7.7","91.4","8.8",31.8,15.9,6.8,38.1
"Sánchez, Gary",596142,2023,240,267,19,25.1,".217",".492",".288","0.780","0.275",".212","4",".329","73.4","7.4","90.1","16.5",27.4,15.4,5.1,27.6
"Bart, Joey",663698,2023,87,95,0,24.2,".207",".264",".263","0.527","0.057",".277","4",".239","73.6","7.6","86.2","15.4",23.1,6.2,6.2,28.2
"Outman, James",681546,2024,136,156,4,35.3,".147",".265",".256","0.521","0.118",".208","4",".242","73.2","7.9","87.6","15.3",38.3,4.9,11.1,37.1
"Rojas, Miguel",500743,2024,307,337,6,10.1,".283",".410",".337","0.747","0.127",".301","3",".327","67.9","7","85","9.7",33.2,2.5,2.2,13.9
"Schanuel, Nolan",694384,2023,109,132,1,14.4,".275",".330",".402","0.732","0.055",".326","3",".336","64.9","6.5","85.4","6.5",40,2.2,2.2,17.6
"Julien, Edouard",666397,2024,266,301,8,33.9,".199",".323",".292","0.615","0.124",".288","2",".278","71.9","7.1","87.8","11.9",38.4,9.8,7.9,30.9
"Buxton, Byron",621439,2024,355,388,18,25.5,".279",".524",".335","0.859","0.245",".338","11",".366","74.3","8.1","91.7","19.8",39.5,13.2,8.5,32.1
"Holliday, Jackson",702616,2024,190,208,5,33.2,".189",".311",".255","0.566","0.122",".265","2",".251","71.2","7.1","89.3","8.6",27,8.2,9.8,34.1
"Narváez, Omar",553882,2023,128,146,2,18.5,".211",".297",".283","0.580","0.086",".245","0",".259","67.3","7.1","86","21",44.8,7.6,6.7,16.6
"Rojas, Miguel",500743,2023,385,423,5,11.3,".236",".322",".290","0.612","0.086",".255","5",".271","68.8","6.9","87.3","11",33.4,2.9,4.1,16.5
"Renfroe, Hunter",592669,2023,498,548,20,22.8,".233",".416",".297","0.713","0.183",".270","3",".308","74.6","7.9","88.3","15",29.5,6.1,6.9,26.4
"Rogers, Jake",668670,2024,310,337,10,29.4,".197",".352",".255","0.607","0.155",".251","3",".264","70.7","7.3","89","15.7",32.9,9.9,9.4,32.7
"Fry, David",681807,2024,335,392,14,21.4,".263",".448",".356","0.804","0.185",".307","9",".347","70.5","7.8","88.3","19.6",36.9,7.5,6.3,24.8
"Contreras, Willson",575929,2024,301,358,15,26.8,".262",".468",".380","0.848","0.206",".337","12",".370","75.9","7.9","91.6","14.2",32.7,11.2,6.8,35
"Call, Alex",669743,2024,99,113,3,16.8,".343",".525",".425","0.950","0.182",".403","2",".412","67.7","6.8","88","12.5",28.7,5,6.3,18.8
"Vázquez, Christian",543877,2023,327,355,6,23.1,".223",".318",".280","0.598","0.095",".279","1",".264","66.6","6.8","86.7","10",36,3.2,7.7,26.2
"Stefanic, Michael",683021,2024,110,124,0,16.1,".218",".255",".301","0.556","0.037",".267","3",".258","64.4","6.3","85.1","7",24.2,1.1,1.1,10.5
"Moore, Dylan",664238,2024,368,441,10,27.9,".201",".367",".320","0.687","0.166",".267","14",".306","73","7.1","88.4","22.6",38.2,8.8,6,24.8
