"last_name, first_name","player_id","year","ab","pa","home_run","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","woba","avg_swing_speed","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","whiff_percent"
"Rosario, Amed",642708,2024,332,346,3,21.1,".280",".380",".306","0.686","0.100",".350","4",".299","71.2","7.3","86.9","4.6",33.5,4.6,3.8,24.6
"McCarthy, Jake",664983,2024,442,495,8,15.8,".285",".400",".349","0.749","0.115",".329","14",".329","67.3","6.7","84.5","9.1",30.4,2.7,4.3,17.6
"Rooker Jr., Brent",667670,2023,463,526,30,32.7,".246",".488",".329","0.817","0.242",".317","10",".348","73.6","7.2","91.6","17.6",37.3,15.6,7.1,38.2
"Burleson, Alec",676475,2024,547,595,21,12.8,".269",".420",".314","0.734","0.151",".276","4",".319","71.2","7.5","89.7","13.6",34.3,6.5,7.1,19.2
"Friedl Jr., TJ",670770,2023,488,556,18,16.2,".279",".467",".352","0.819","0.188",".308","10",".353","68.6","6.7","86.7","16.1",32,3.2,2.2,18.4
"Duran, Ezequiel",677649,2024,268,285,3,22.1,".246",".321",".288","0.609","0.075",".310","2",".270","72.6","7.2","87.1","8.9",28.2,3.4,6.3,24.7
"Jung, Josh",673962,2023,478,515,23,29.3,".266",".467",".315","0.782","0.201",".340","5",".334","71.2","7","91.8","15",41.9,11.9,7.9,29.7
"Blanco, Dairon",680118,2023,124,138,3,23.9,".258",".452",".324","0.776","0.194",".330","2",".333","74.4","7.5","86.7","9.1",28,6.5,7.5,29.3
"Siani, Michael",672279,2024,298,334,2,27.5,".228",".285",".285","0.570","0.057",".322","3",".257","68.9","7.2","84.4","5.1",32.6,2.3,2.3,29.5
"McNeil, Jeff",643446,2024,424,472,12,14.4,".238",".384",".308","0.692","0.146",".256","9",".304","68.8","7.2","87","14.9",32.2,3.1,6.1,17.5
"Meneses, Joey",608841,2023,611,657,13,19.8,".275",".401",".321","0.722","0.126",".329","5",".314","69.7","6.7","89.4","9.4",32.9,5.4,5,23.6
"Guerrero Jr., Vladimir",665489,2023,602,682,26,14.7,".264",".444",".345","0.789","0.180",".277","9",".340","75.5","7.6","92.1","10.5",32.4,11.1,6.1,23
"Julks, Corey",667452,2024,173,189,3,26.5,".214",".306",".275","0.581","0.092",".281","0",".260","70.7","7","84.9","15",33.9,3.2,4.8,25.9
"Carpenter, Kerry",681481,2023,418,459,20,25.1,".278",".471",".340","0.811","0.193",".338","8",".347","70.6","7.4","90.1","13.1",37.2,10.2,8.6,27
"Witt Jr., Bobby",677951,2023,641,694,30,17.4,".276",".495",".319","0.814","0.219",".295","4",".343","75.1","7","90.7","15.7",34.4,11.5,7.2,22.8
"Yelich, Christian",592885,2023,550,632,19,22.2,".278",".447",".370","0.817","0.169",".342","3",".353","73.6","7.4","91.7","3.5",30.4,9.2,6.1,26.8
"Abrams, CJ",682928,2023,563,614,18,19.2,".245",".412",".300","0.712","0.167",".279","13",".306","71.5","7.3","87.4","13.5",32.6,6.9,7.5,22.5
"McCormick, Chas",676801,2024,242,267,5,27,".211",".306",".271","0.577","0.095",".274","4",".257","70.8","7.5","86.2","15.2",32.2,7.5,4,31.3
"García, Avisaíl",541645,2024,50,51,2,25.5,".240",".380",".255","0.635","0.140",".286","0",".274","69","7","86.6","2.1",27,8.1,2.7,29.5
"Walker, Christian",572233,2024,479,552,26,24.1,".251",".468",".335","0.803","0.217",".287","10",".343","75","7.5","91.2","16.6",35,13.3,7.1,25.6
"Bleday, JJ",668709,2023,256,303,10,23.8,".195",".355",".310","0.665","0.160",".226","2",".297","72.5","7.3","88.6","15.5",29.9,6.4,4.3,28.2
"Gorman, Nolan",669357,2024,365,402,19,37.6,".203",".400",".271","0.671","0.197",".279","1",".290","73.2","7.5","88.5","20.3",40.3,16.7,5.1,38.7
"Goldschmidt, Paul",502671,2024,599,654,22,26.5,".245",".414",".302","0.716","0.169",".308","2",".310","72.5","7.8","91.2","13.1",34.3,10.7,8.9,27.4
"Martini, Nick",605361,2023,72,79,6,19,".264",".583",".329","0.912","0.319",".255","2",".382","70.7","6.8","91","23.6",45.6,10.5,15.8,18.1
"Turner, Trea",607208,2024,505,539,21,18.2,".295",".469",".338","0.807","0.174",".331","6",".349","71.6","7.6","89.1","11.5",30.9,6.9,5.6,26.1
"Norby, Connor",681393,2024,178,194,9,33,".236",".438",".294","0.732","0.202",".311","0",".316","70.1","7.1","86.2","17",47,14.8,7,33.2
"Berti, Jon",542932,2024,66,74,1,18.9,".273",".318",".342","0.660","0.045",".333","1",".300","71.8","7.5","84.2","11",41.5,1.9,1.9,17.7
"Renfroe, Hunter",592669,2024,385,424,15,19.8,".229",".392",".297","0.689","0.163",".254","2",".302","75.2","7.6","88.5","16.7",27.8,6.6,6.3,23.4
"Kirk, Alejandro",672386,2023,372,422,8,10.7,".250",".358",".334","0.692","0.108",".265","6",".308","70.1","7.2","87.6","6.3",31.9,5.2,5.5,12.8
"Rengifo, Luis",650859,2024,283,304,6,14.5,".300",".417",".347","0.764","0.117",".339","4",".335","69.7","7.2","87","6.7",30.4,2.5,5,22.3
"Perdomo, Geraldo",672695,2024,337,388,3,14.9,".273",".374",".344","0.718","0.101",".317","3",".317","66.9","6.8","87","16.9",28.9,3.1,3.1,12.2
"Abrams, CJ",682928,2024,541,602,20,21.3,".246",".433",".314","0.747","0.187",".285","16",".322","72.2","7.5","88.2","15.1",33,6.9,9.6,24.7
"Gomes, Yan",543228,2023,382,419,10,19.3,".267",".408",".315","0.723","0.141",".309","9",".312","69.1","7.7","87.4","15.1",37,7.8,4.5,24.2
"Gonzales, Nick",693304,2023,115,128,2,28.1,".209",".348",".268","0.616","0.139",".278","4",".268","68.7","7.2","85.5","8.7",26.8,3.7,2.4,32.4
"Peña, Jeremy",665161,2023,577,634,10,20.3,".263",".381",".324","0.705","0.118",".323","9",".310","71.6","8","88","5.5",32.4,4,5.3,28.4
"Bryant, Kris",592178,2023,300,335,10,20.3,".233",".367",".313","0.680","0.134",".270","6",".302","69.3","8","85.7","14.4",34.1,6,7.3,25
"Pollock, AJ",572041,2023,133,144,5,22.2,".165",".308",".215","0.523","0.143",".173","0",".227","72.5","7.8","89.4","13",24.3,6.8,8.7,25.8
"Arozarena, Randy",668227,2024,549,648,20,26.1,".219",".388",".332","0.720","0.169",".275","22",".320","72.7","7.4","90.4","13.2",28.4,8.3,7,29.7
"Díaz, Yandy",650490,2023,525,600,22,15.7,".330",".522",".410","0.932","0.192",".367","8",".402","73.8","7.5","93.4","5.7",30.5,9.5,6.5,18.4
"Triolo, Jared",669707,2024,394,446,9,26.5,".216",".315",".296","0.611","0.099",".279","5",".275","70.5","7.8","88.4","13.4",38.8,5.3,5,27.4
"Keith, Colt",690993,2024,516,556,13,19.8,".260",".380",".309","0.689","0.120",".306","2",".301","71.3","6.7","87.8","11.3",34.6,5.6,5.1,23.2
"Perkins, Blake",663368,2024,383,434,6,24.9,".240",".332",".316","0.648","0.092",".313","3",".288","69.4","7.3","88.8","12",32,3.9,6,27.1
"Clement, Ernie",676391,2024,434,452,12,9.1,".263",".408",".284","0.692","0.145",".266","3",".297","66.8","6.8","85.5","16.3",34.3,3.8,5.3,14.4
"Martinez, J.D.",502110,2023,432,479,33,31.1,".271",".572",".321","0.893","0.301",".324","2",".369","72.9","8.5","93.4","16.9",41.1,17.1,11.3,34.4
"Muncy, Max",571970,2023,482,579,36,26.4,".212",".475",".333","0.808","0.263",".221","6",".344","71.3","7.1","91.2","21.7",33.7,14.6,8.4,29.6
"Wade Jr., LaMonte",664774,2024,331,401,8,22.4,".260",".381",".380","0.761","0.121",".331","4",".337","72.4","6.8","90.6","12.9",39.6,9.4,9,24.2
"Mead, Curtis",678554,2024,122,132,1,22.7,".238",".287",".282","0.569","0.049",".304","2",".255","74","7.3","88.8","16.3",36.6,4.3,9.7,23.5
"Baker, Luken",663609,2023,86,99,2,31.3,".209",".314",".313","0.627","0.105",".302","0",".285","73.9","7.8","93.1","16.9",38.2,7.3,14.5,31.6
"Tovar, Ezequiel",678662,2023,581,615,15,27,".253",".408",".287","0.695","0.155",".328","4",".298","71.9","7.5","88","12.6",36.4,8.1,3.6,31.3
"Robinson, Chuckie",642020,2024,70,76,0,26.3,".129",".129",".197","0.326","0.000",".180","1",".159","71.3","6.9","81.4","1.2",28,2,2,29.9
"Meadows, Parker",678009,2023,125,145,3,25.5,".232",".368",".331","0.699","0.136",".302","2",".308","70.1","7.3","89.3","18.3",36,9,6.7,24
"Ruf, Darin",573131,2023,49,57,0,28.1,".224",".286",".333","0.619","0.062",".333","0",".287",,,"94","7.5",39.4,12.1,6.1,26.6
"Ford, Mike",645801,2023,219,251,16,32.3,".228",".475",".323","0.798","0.247",".276","7",".343","71.1","7.1","88.8","21",33.1,17.3,5,30.4
"Walker, Jordan",691023,2023,420,465,16,22.4,".276",".445",".342","0.787","0.169",".331","6",".341","74.9","7.8","89.4","10.2",33.6,7.5,7.9,30
"Rocchio, Brayan",677587,2024,383,442,8,20.4,".206",".316",".298","0.614","0.110",".245","8",".276","69.5","7.3","84.6","9.4",36,4,4,24.3
"Bae, Ji Hwan",678225,2023,334,371,2,24.8,".231",".311",".296","0.607","0.080",".310","2",".272","67.1","6.7","88.1","1.1",24.3,2,4.5,25.4
"Loperfido, Joey",694388,2024,243,262,4,36.3,".214",".350",".264","0.614","0.136",".331","4",".268","72.9","7.7","88.3","12.9",40.7,4,5.3,35.4
"Peterson, Jace",607054,2023,374,430,6,23.5,".211",".307",".304","0.611","0.096",".270","4",".275","67.5","6.9","85.7","14.4",33.5,4.7,6.1,25
"Chisholm Jr., Jazz",665862,2023,352,383,19,30.8,".250",".457",".304","0.761","0.207",".318","2",".325","72.9","7.5","90.3","10.7",25.3,12.2,6.3,36.2
"Dezenzo, Zach",701305,2024,62,65,2,33.8,".242",".371",".277","0.648","0.129",".342","0",".283","75.4","7.5","87.5","10.5",30,10,7.5,31.7
"Anderson, Tim",641313,2023,493,524,1,23.3,".245",".296",".286","0.582","0.051",".323","3",".260","68.8","7.1","87.8","2",32.4,2.9,5.9,25.3
"Kelenic, Jarred",672284,2023,372,416,11,31.7,".253",".419",".327","0.746","0.166",".359","1",".321","72.2","7.1","90.9","10.1",38.8,9.5,9.9,33.8
"Stefanic, Michael",683021,2023,62,71,0,11.3,".290",".355",".380","0.735","0.065",".333","1",".332","64.5","6.1","87.9","7.3",38.9,0,1.9,7
"Valdez, Enmanuel",665839,2024,201,223,6,23.8,".214",".363",".270","0.633","0.149",".253","0",".275","70.4","7.5","89.4","19.3",32,9.2,5.9,22.1
"Tauchman, Mike",643565,2024,298,350,7,20,".248",".366",".357","0.723","0.118",".302","4",".325","69.3","7","89","15.5",34.9,7.4,4.8,22.5
"Betts, Mookie",605141,2024,450,516,19,11,".289",".491",".372","0.863","0.202",".294","1",".371","69","6.9","89.9","21.4",39.3,6,10.1,14.9
"Wood, James",695578,2024,295,336,9,28.9,".264",".427",".354","0.781","0.163",".365","2",".342","73.9","7.4","92.8","2.4",31.3,10.6,6.1,29.6
"Montero, Elehuris",660707,2024,224,247,4,22.7,".205",".304",".267","0.571","0.099",".251","0",".254","75.1","7.6","89.5","17",27.5,7.6,6.4,30.3
"Jankowski, Travis",608671,2024,190,207,1,21.3,".200",".242",".266","0.508","0.042",".255","5",".234","67","6.5","85.4","5.9",25.3,0.7,2.7,20.7
"Taylor, Chris",621035,2024,213,246,4,30.9,".202",".300",".298","0.598","0.098",".289","2",".272","70","7.2","85.9","16.9",42.9,7.1,6.4,31.3
"Guerrero Jr., Vladimir",665489,2024,616,697,30,13.8,".323",".544",".396","0.940","0.221",".342","5",".398","75.9","7.7","93.8","7.4",35.1,13.7,6.3,21.5
"Taylor, Michael A.",572191,2023,355,388,21,33.5,".220",".442",".278","0.720","0.222",".278","3",".308","74.4","7.3","88.1","13.4",30.6,13.5,6.6,34.1
"Bouchard, Sean",656248,2024,91,108,1,30.6,".187",".297",".290","0.587","0.110",".271","2",".266","71.1","7.3","89.8","10.7",29.5,4.9,9.8,33.7
"Dalbec, Bobby",666915,2024,83,93,1,46.2,".133",".193",".217","0.410","0.060",".256","1",".194","72.3","7.2","86","10",19.5,2.4,9.8,41.8
"Santana, Carlos",467793,2023,550,619,23,16.8,".240",".429",".318","0.747","0.189",".255","0",".323","71.4","7.5","88.8","12.8",31.3,6.7,4.7,22.1
"Gordon, Nick",624503,2024,260,275,8,24.4,".227",".369",".258","0.627","0.142",".271","1",".271","68.2","7.3","86.1","6.5",34.7,6.1,3.1,32
"Myers, Dane",667472,2024,95,108,3,33.3,".263",".442",".333","0.775","0.179",".379","3",".335","71.2","7.2","89.9","11.4",32.8,11.5,1.6,29.4
"Giménez, Andrés",665926,2024,583,633,9,15.3,".252",".340",".298","0.638","0.088",".286","15",".281","68.3","7","86.3","8.7",32.7,2.8,4.4,22.8
"Jung, Jace",690291,2024,79,94,0,30.9,".241",".304",".362","0.666","0.063",".380","0",".308","70.5","7.3","86.4","11",32,4,2,31.1
"Castro, Willi",650489,2024,558,635,12,23.6,".247",".385",".331","0.716","0.138",".315","21",".317","70.6","7.1","87.4","13.6",39,7,8,29
"O'Neill, Tyler",641933,2024,411,473,31,33.6,".241",".511",".336","0.847","0.270",".305","7",".360","75.2","7.6","90.9","20.2",34.6,17.3,7.9,34.1
"Voit III, Luke",572228,2023,68,74,0,36.5,".221",".265",".284","0.549","0.044",".366","2",".251",,,"86.7","12.5",43.9,7.3,2.4,40.7
"Machado, Manny",592518,2024,593,643,29,19.3,".275",".472",".325","0.797","0.197",".302","1",".340","75.2","7.8","92.5","12.7",33.8,11,5.9,24.4
"Goldschmidt, Paul",502671,2023,593,687,25,23.4,".268",".447",".363","0.810","0.179",".327","3",".350","72.1","7.5","91.3","12.8",35.6,12,8.5,27.5
"Barnes, Austin",605131,2023,178,200,2,21.5,".180",".242",".256","0.498","0.062",".222","2",".229","68.6","6.5","84.8","6.1",28.3,2.9,5.1,22.2
"Marte, Ketel",606466,2024,504,583,36,18.2,".292",".560",".372","0.932","0.268",".299","5",".391","73.7","7.6","94","9.4",33.7,12.3,7.4,21.3
"Manzardo, Kyle",700932,2024,145,156,5,26.3,".234",".421",".282","0.703","0.187",".290","1",".303","71.8","7.6","89.1","22.1",31.4,9.5,10.5,27.6
"Mejía, Francisco",642336,2023,150,160,5,23.8,".227",".400",".258","0.658","0.173",".266","1",".280","67.8","7","87.5","18.9",33,4.3,7,22.1
"Tatis Jr., Fernando",665487,2024,398,438,21,21.9,".276",".492",".340","0.832","0.216",".316","7",".359","74.7","7.3","93.5","10",33.7,14.5,6.9,28.1
"Adams, Riley",656180,2024,116,130,2,26.9,".224",".336",".292","0.628","0.112",".296","2",".275","75.5","8.1","89.9","13.6",30.1,7.2,2.4,28.1
"Raleigh, Cal",663728,2023,513,569,30,27.8,".232",".456",".306","0.762","0.224",".273","1",".326","75","7.8","89.5","20.3",36.5,12.6,7,29.9
"Schmitt, Casey",669477,2023,253,277,5,23.5,".206",".324",".255","0.579","0.118",".253","5",".254","70.5","7.2","88.1","15.1",32,6.7,3.6,27.1
"Heyward, Jason",518792,2024,228,258,10,20.5,".211",".412",".288","0.700","0.201",".226","4",".300","73.2","8.2","88","10.4",29.8,5.6,3.4,24
"Bruján, Vidal",660644,2024,248,278,2,19.4,".222",".319",".303","0.622","0.097",".276","4",".276","66.9","7","85.1","8",29.7,1.5,4.1,24.4
"Sosa, Lenyn",672820,2023,164,173,6,23.1,".201",".348",".224","0.572","0.147",".227","0",".241","70.8","7.4","89.4","14.1",30.5,7.8,6.3,24
"Taylor, Tyrone",621438,2023,231,243,10,22.6,".234",".446",".267","0.713","0.212",".263","3",".302","69.7","7.4","87.7","18.2",33.9,6.8,10.2,24.9
"Toglia, Michael",669911,2023,141,152,4,32.9,".163",".284",".224","0.508","0.121",".218","1",".225","75.2","7.6","90.2","16.7",31.9,5.5,7.7,38.8
"Thompson, Bubba",669352,2023,53,60,0,26.7,".170",".283",".237","0.520","0.113",".237","1",".230",,,"82.1","3.6",23.1,2.6,5.1,38.3
"Johnson, Bryce",669369,2024,63,73,0,16.4,".206",".238",".286","0.524","0.032",".255","0",".243","67.1","7.1","86.1","7.4",37,0,0,18.3
"McCray, Grant",687529,2024,124,130,5,43.1,".202",".379",".238","0.617","0.177",".317","0",".266","72.7","7.2","90.2","5.4",30.9,11.8,7.4,43.6
"Garcia, Maikel",672580,2024,575,626,7,16.5,".231",".332",".281","0.613","0.101",".268","0",".270","70.8","7.2","90.4","6.4",34.1,3.7,4.8,15.7
"Story, Trevor",596115,2023,158,168,3,32.7,".203",".316",".250","0.566","0.113",".290","1",".249","71","7.3","88.5","15.5",42.7,9.7,6.8,31.7
"Heyward, Jason",518792,2023,334,377,15,17,".269",".473",".340","0.813","0.204",".291","3",".348","73.8","8.1","87.7","15.4",33,8.1,6.6,20.7
"Benson, Will",666181,2023,287,329,11,31.3,".275",".498",".365","0.863","0.223",".391","1",".369","70.3","7.4","90.2","14.6",40.5,10.3,9.2,31.5
"Bohm, Alec",664761,2024,554,606,15,14.2,".280",".448",".332","0.780","0.168",".305","6",".335","72.2","7.4","90.4","10.1",35.2,6.8,9.1,17.6
"Urshela, Gio",570482,2024,432,461,9,15.6,".250",".361",".286","0.647","0.111",".278","1",".281","68.2","7.1","86.4","10.5",38.6,4.9,5.2,20.3
"Neto, Zach",687263,2023,289,329,9,23.4,".225",".377",".308","0.685","0.152",".272","16",".302","69.3","7.2","89.1","14.5",33.8,8.8,7.4,28.7
"Locastro, Tim",641796,2023,56,67,2,32.8,".232",".393",".338","0.731","0.161",".344","6",".327","68.3","7.5","83.3","22.2",30.6,8.3,0,32.3
"Narváez, Omar",553882,2024,65,69,0,17.4,".154",".185",".191","0.376","0.031",".189","0",".171","65.8","6.8","86.1","21",27.8,0,3.7,16.5
"Straw, Myles",664702,2023,462,518,1,18.7,".238",".297",".301","0.598","0.059",".295","2",".268","66.1","6.7","86.3","9.4",34,0.5,2.4,14.1
"d'Arnaud, Travis",518595,2023,267,292,11,22.9,".225",".397",".288","0.685","0.172",".258","3",".297","72.3","7.7","90.7","10.3",37.8,9,10.9,28.6
"Fitzgerald, Tyler",666149,2024,314,341,15,31.7,".280",".497",".334","0.831","0.217",".380","4",".357","70.5","7.4","87.7","20.2",39.1,8.2,4.8,31.2
"Larnach, Trevor",663616,2023,183,212,8,34,".213",".415",".311","0.726","0.202",".295","0",".313","73.2","7.6","90.1","17.5",41.6,13.3,12.4,36.5
"Pages, Andy",681624,2024,403,443,13,24.4,".248",".407",".305","0.712","0.159",".304","6",".310","73.1","7.7","88.6","20.8",40.8,10.7,6.4,26.1
"Brosseau, Mike",670712,2023,73,78,4,25.6,".205",".397",".256","0.653","0.192",".224","1",".281",,,"81.3","13.4",32.1,7.5,5.7,31.3
"Black, Tyler",672012,2024,49,57,0,29.8,".204",".245",".316","0.561","0.041",".313","1",".265","68.6","7","83","16.4",31.3,0,3.1,24.3
"Wade, Tyler",642180,2023,51,55,0,23.6,".255",".314",".309","0.623","0.059",".342","0",".278",,,"85.3","8.6",21.1,0,2.6,23.3
"Ohtani, Shohei",660271,2023,497,599,44,23.9,".304",".654",".412","1.066","0.350",".342","3",".433","77.4","7.9","94.4","13.2",35.6,19.6,6.4,32.3
"Ward, Taylor",621493,2024,585,663,25,24.6,".246",".426",".323","0.749","0.180",".294","7",".325","69.8","7.1","90.9","17.4",41.9,13,6.7,25.5
"Lowe, Josh",666139,2024,353,387,10,31.8,".241",".391",".302","0.693","0.150",".338","0",".299","73.3","7.2","90.8","16.9",37.9,10.3,6.5,31.9
"Donovan, Brendan",680977,2024,587,652,14,12.4,".278",".417",".342","0.759","0.139",".300","13",".332","69.6","6.9","88.7","13.2",36.6,5.5,6.5,15.1
"Bailey, Patrick",672275,2023,326,353,7,28.3,".233",".359",".285","0.644","0.126",".314","3",".282","70","7.3","88.7","10.2",36.2,10,4.4,26.2
"Velazquez, Andrew",623205,2023,81,94,2,31.9,".173",".284",".264","0.548","0.111",".245","0",".249","69.9","7.3","87.7","8.9",27.8,3.7,3.7,35.5
"Wilson Jr., Jacob",805779,2024,92,103,0,9.7,".250",".315",".314","0.629","0.065",".277","1",".281","63.5","6.2","85.4","9.5",26.2,0,0,12.7
"Gomes, Yan",543228,2024,91,96,2,37.5,".154",".242",".179","0.421","0.088",".222","1",".184","68.7","7.6","87.1","17",42.1,10.5,7,34.1
"Crawford, Brandon",543063,2024,71,80,1,32.5,".169",".282",".263","0.545","0.113",".250","1",".248","70.6","7.4","89.7","13.5",37.8,6.7,2.2,35.8
"Vogelbach, Daniel",596129,2023,275,319,13,25.4,".233",".404",".339","0.743","0.171",".282","2",".327","70.9","7.6","91.7","14.5",31.4,9.3,8.2,21.6
"Martini, Nick",605361,2024,146,163,5,23.3,".212",".370",".272","0.642","0.158",".245","4",".279","69.8","6.9","87.4","14.9",32.4,7.2,1.8,24.8
"Joe, Connor",656582,2024,364,416,9,21.9,".228",".368",".320","0.688","0.140",".278","6",".305","72.1","7.4","85.3","16.3",30.9,4.7,3.3,25.7
"Higashioka, Kyle",543309,2023,242,260,10,28.5,".236",".413",".274","0.687","0.177",".292","0",".293","72.5","7.5","90.1","15.5",36.6,11,7.6,28.6
"Rivera, Emmanuel",656896,2023,257,283,4,19.8,".261",".358",".314","0.672","0.097",".313","0",".295","69.5","6.9","90.7","11.2",35.6,5.9,7.8,26.7
"Haniger, Mitch",571745,2024,380,423,12,29.8,".208",".334",".286","0.620","0.126",".276","2",".277","72.9","7.1","90.6","13.7",31,9,8.2,32.3
"Bell, Josh",605137,2023,547,617,22,21.7,".247",".419",".325","0.744","0.172",".287","2",".323","72.3","8.1","90.1","9.3",31.3,10.1,5.3,25.8
"Barnes, Austin",605131,2024,140,156,1,23.1,".264",".307",".331","0.638","0.043",".350","0",".289","68.2","6.4","86.3","9.5",30.2,1.9,3.8,22.8
"Fermin, Freddy",666023,2023,217,235,9,21.3,".281",".461",".321","0.782","0.180",".323","1",".333","68.8","7.3","89.9","11.7",35.1,9.9,3.5,24.3
"Fermin, Freddy",666023,2024,339,368,6,17.9,".271",".366",".319","0.685","0.095",".319","2",".300","70.8","7.5","88.2","11.1",29.2,3.2,4,23
"Pham, Tommy",502054,2023,426,481,16,22,".256",".446",".328","0.774","0.190",".300","2",".332","73.8","6.9","92.3","5.7",34.4,10.7,7.1,23.6
"Abreu, José",547989,2023,540,594,18,21.9,".237",".383",".296","0.679","0.146",".276","6",".295","74","7.4","89","10.8",32.5,8.7,4.6,26.4
"Bleday, JJ",668709,2024,572,642,20,19.5,".243",".437",".324","0.761","0.194",".279","2",".330","71.7","7.3","88.5","18.6",37.1,8.3,7.1,26.1
"Kiner-Falefa, Isiah",643396,2023,326,361,6,19.4,".242",".340",".306","0.646","0.098",".289","3",".286","67.5","6.9","88.8","7.2",33.5,3.1,5,19.6
"Rendon, Anthony",543685,2023,148,183,2,14.8,".236",".318",".361","0.679","0.082",".268","6",".312",,,"90.1","16.2",34.4,4.8,5.6,18.2
"Goodman, Hunter",696100,2023,70,77,1,31.2,".200",".386",".247","0.633","0.186",".277","0",".266","75.7","7.1","88.7","10.8",27.1,10.4,10.4,38
"Sánchez, Jesús",660821,2024,489,537,18,26.1,".252",".417",".313","0.730","0.165",".315","4",".317","75.2","7.1","92.5","7.7",31.8,12.2,7.1,31.2
"Fairchild, Stuart",656413,2024,209,233,8,25.8,".215",".368",".286","0.654","0.153",".261","4",".288","70.3","7.4","85.5","20.5",27.6,7.9,5.9,35.5
"O'Hoppe, Logan",681351,2024,479,522,20,29.7,".244",".409",".303","0.712","0.165",".318","8",".311","70.7","7.3","90.4","15.3",42.9,12,7.1,33.6
"Call, Alex",669743,2023,375,439,8,17.8,".200",".307",".307","0.614","0.107",".230","6",".280","70.2","7.2","86.8","17",30.5,5.3,5,18.6
"Pache, Cristian",665506,2024,165,183,1,35,".200",".279",".273","0.552","0.079",".317","0",".250","71.7","7.4","89.9","9.8",26.5,4.9,6.9,33.2
"Wisdom, Patrick",621550,2024,158,174,8,33.9,".171",".392",".237","0.629","0.221",".207","4",".271","75.4","7.9","90.9","28",23.8,15.8,7.9,31.4
"Verdugo, Alex",657077,2023,546,602,13,15.4,".264",".421",".324","0.745","0.157",".294","6",".322","67.6","6.2","89.2","8.8",35.4,5,6.3,15.6
"Romo, Drew",691011,2024,51,53,0,34,".176",".235",".208","0.443","0.059",".273","0",".197","68.5","7.2","82.2","14.7",21.2,3,0,29.5
"Moustakas, Mike",519058,2023,352,386,12,24.6,".247",".392",".293","0.685","0.145",".296","3",".294","71.6","7.3","89","18",28.3,5.7,4.5,27.3
"McMahon, Ryan",641857,2024,567,645,20,28.7,".242",".397",".325","0.722","0.155",".320","3",".315","72.5","7.2","92.1","10",36.5,10.9,7,30
"Giménez, Andrés",665926,2023,557,616,15,18.2,".251",".399",".314","0.713","0.148",".289","20",".309","68.8","7","84.8","13.1",29.9,5.5,4.2,25.4
"Ramos, Heliot",671218,2024,475,518,22,26.1,".269",".469",".322","0.791","0.200",".329","2",".339","75.2","6.9","91.5","10.4",34.3,14.5,5.5,28.7
"Buxton, Byron",621439,2023,304,347,17,31.4,".207",".438",".294","0.732","0.231",".253","4",".311","76.2","8","91.5","20.1",33.2,14.6,8.5,30.6
"Yastrzemski, Mike",573262,2023,330,381,15,26,".233",".445",".330","0.775","0.212",".286","3",".333","70.6","7.4","90","19.6",35,9.8,11.5,23.6
"Moniak, Mickey",666160,2024,392,418,14,27.3,".219",".380",".266","0.646","0.161",".272","4",".281","73.1","7.7","88.1","19.8",31.9,9.3,5,30.6
"Ramírez, Harold",623912,2023,400,434,12,18.2,".313",".460",".353","0.813","0.147",".359","6",".349","72.3","7.3","89.1","6.1",29.4,4.6,6.4,28.1
"Grisham, Trent",663757,2023,469,555,13,27.7,".198",".352",".315","0.667","0.154",".264","5",".299","70.5","7.6","90.3","18.3",32.8,11.9,7.5,28.3
"Barger, Addison",680718,2024,208,225,7,26.7,".197",".351",".250","0.601","0.154",".239","1",".262","74.3","7.5","88.3","12.1",32.9,8.7,5.4,27.6
"Volpe, Anthony",683011,2024,637,689,12,22.6,".243",".364",".293","0.657","0.121",".303","4",".287","69.3","7.1","87.7","8.4",33.3,3.9,5.6,22.6
"Taveras, Leody",665750,2023,511,554,14,21.1,".266",".421",".312","0.733","0.155",".318","1",".316","71.3","7.3","90.1","10.2",35.2,7.2,5.5,24.2
"Garcia, Maikel",672580,2023,464,515,4,22.3,".272",".358",".323","0.681","0.086",".344","2",".299","69.8","7.1","91.8","6.1",36.9,3.9,9.4,19.5
"Vázquez, Christian",543877,2024,294,315,7,20.6,".221",".327",".248","0.575","0.106",".257","1",".250","68.3","7","88.5","16.1",36.1,3.8,6.3,20.8
"Robles, Victor",645302,2024,254,295,4,18,".307",".433",".381","0.814","0.126",".370","11",".357","68.3","6.9","86.7","14.8",34.8,6.2,4.8,24.7
"Trout, Mike",545361,2023,308,362,18,28.7,".263",".490",".367","0.857","0.227",".335","7",".368","72.9","7.4","91.9","19.3",38.3,16,5.8,29.3
"Singleton, Jon",572138,2024,355,405,13,27.4,".234",".386",".321","0.707","0.152",".299","0",".312","72.1","7.1","88.7","12.8",34.8,8.9,4.5,30.1
"Kiermaier, Kevin",595281,2024,259,281,5,30.6,".197",".313",".237","0.550","0.116",".272","2",".241","70.4","7.1","86.4","7.3",27.6,3.9,5,37.5
"Bader, Harrison",664056,2024,402,437,12,21.7,".236",".373",".284","0.657","0.137",".276","8",".285","71.2","7.1","87.2","11.9",33.9,6.4,4.5,24.5
