"last_name, first_name","player_id","year","ab","pa","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","avg_swing_speed","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent"
"Trammell, Taylor",666211,2023,46,56,3,".130",".326",".286","0.612","0.196",".143","1","69.1","8.6","91.5","26.2",16.7,16.7,8.3
"Maile, Luke",571912,2024,135,154,2,".178",".252",".268","0.520","0.074",".268","4","67.7","6.7","84.7","11.3",37.6,3.5,4.7
"Andujar, Miguel",609280,2024,302,319,4,".285",".377",".320","0.697","0.092",".319","3","71.6","7.6","86.1","9.2",26.1,2.7,3.1
"Conforto, Michael",624424,2023,406,470,15,".239",".384",".334","0.718","0.145",".284","7","73","7.2","88.9","11.9",31.9,7.9,7.6
"Lamb, Jake",571875,2023,51,54,2,".216",".353",".259","0.612","0.137",".265","0",,,"89.1","12",36.1,5.6,11.1
"Capel, Conner",668843,2023,73,86,0,".260",".329",".372","0.701","0.069",".396","1",,,"86.4","13.1",41.7,0,4.2
"Smith, Will",669257,2024,476,544,20,".248",".433",".327","0.760","0.185",".273","9","67.9","7.2","89.4","18.7",38.3,10.8,8.4
"Anderson, Brian",605119,2023,318,361,9,".226",".368",".310","0.678","0.142",".309","4","72.4","7.5","87.6","9.9",34.3,10.3,6.1
"Ruf, Darin",573131,2023,49,57,0,".224",".286",".333","0.619","0.062",".333","0",,,"94","7.5",39.4,12.1,6.1
"Call, Alex",669743,2023,375,439,8,".200",".307",".307","0.614","0.107",".230","6","70.2","7.2","86.8","17",30.5,5.3,5
"Meckler, Wade",685133,2023,56,64,0,".232",".250",".328","0.578","0.018",".419","2","66","7.1","81.4","7.8",45.2,0,3.2
"Hayes, Ke'Bryan",663647,2024,365,396,4,".233",".290",".283","0.573","0.057",".279","4","72.1","6.9","88.9","4.8",29.9,2.4,6.5
"Sheets, Gavin",657757,2024,451,501,10,".233",".357",".303","0.660","0.124",".281","4","72.7","7.6","87.8","13.5",41.1,5.7,6.3
"Caminero, Junior",691406,2024,165,177,6,".248",".424",".299","0.723","0.176",".289","1","77.2","8.3","89.7","6.8",25.2,11.8,3.1
"Vierling, Matt",663837,2024,518,567,16,".257",".423",".312","0.735","0.166",".303","3","71.1","7.4","89.8","11.7",34.1,7.5,5.5
"Norby, Connor",681393,2024,178,194,9,".236",".438",".294","0.732","0.202",".311","0","70.1","7.1","86.2","17",47,14.8,7
"Berti, Jon",542932,2024,66,74,1,".273",".318",".342","0.660","0.045",".333","1","71.8","7.5","84.2","11",41.5,1.9,1.9
"Cabbage, Trey",663550,2024,86,91,1,".209",".337",".253","0.590","0.128",".333","1","75.9","7.9","92.8","7.7",32.7,15.4,5.8
"Muncy, Max",571970,2023,482,579,36,".212",".475",".333","0.808","0.263",".221","6","71.3","7.1","91.2","21.7",33.7,14.6,8.4
"Clement, Ernie",676391,2024,434,452,12,".263",".408",".284","0.692","0.145",".266","3","66.8","6.8","85.5","16.3",34.3,3.8,5.3
"Wade Jr., LaMonte",664774,2024,331,401,8,".260",".381",".380","0.761","0.121",".331","4","72.4","6.8","90.6","12.9",39.6,9.4,9
"Kirk, Alejandro",672386,2024,340,386,5,".253",".359",".319","0.678","0.106",".276","2","70.1","7","89.4","10.8",34.6,6.7,7
"Manzardo, Kyle",700932,2024,145,156,5,".234",".421",".282","0.703","0.187",".290","1","71.8","7.6","89.1","22.1",31.4,9.5,10.5
"Díaz, Elias",553869,2023,486,526,14,".267",".409",".316","0.725","0.142",".324","2","73.6","7","88.1","12.7",31.2,6.2,4.3
"Gorman, Nolan",669357,2024,365,402,19,".203",".400",".271","0.671","0.197",".279","1","73.2","7.5","88.5","20.3",40.3,16.7,5.1
"Goldschmidt, Paul",502671,2024,599,654,22,".245",".414",".302","0.716","0.169",".308","2","72.5","7.8","91.2","13.1",34.3,10.7,8.9
"Reynolds, Bryan",668804,2023,574,640,24,".263",".460",".330","0.790","0.197",".304","7","70.2","6.9","90.9","10.9",36.9,11.1,6.6
"Lindor, Francisco",596019,2024,618,689,33,".273",".500",".344","0.844","0.227",".295","12","72.4","7.6","90.9","17",35.4,13.6,5.7
"Candelario, Jeimer",600869,2023,505,576,22,".251",".471",".336","0.807","0.220",".292","13","69.3","7.8","88.3","14.1",36.9,7.9,7.3
"Carter, Evan",694497,2023,62,75,5,".306",".645",".413","1.058","0.339",".412","0","71.4","7.2","89","9",43.6,10.3,10.3
"Rocchio, Brayan",677587,2024,383,442,8,".206",".316",".298","0.614","0.110",".245","8","69.5","7.3","84.6","9.4",36,4,4
"McMahon, Ryan",641857,2023,555,627,23,".240",".431",".322","0.753","0.191",".326","1","72.2","7.3","90.8","9.7",39.4,11.4,6.4
"Mancini III, Trey",641820,2023,235,263,4,".234",".336",".299","0.635","0.102",".327","2","72.6","7.8","88.9","12.3",32.5,3.8,8.8
"Schmitt, Casey",669477,2024,107,113,6,".252",".477",".283","0.760","0.225",".273","1","71.6","7.5","89.2","16.5",31.3,8.4,7.2
"Rengifo, Luis",650859,2024,283,304,6,".300",".417",".347","0.764","0.117",".339","4","69.7","7.2","87","6.7",30.4,2.5,5
"Taylor, Michael A.",572191,2023,355,388,21,".220",".442",".278","0.720","0.222",".278","3","74.4","7.3","88.1","13.4",30.6,13.5,6.6
"Guerrero Jr., Vladimir",665489,2024,616,697,30,".323",".544",".396","0.940","0.221",".342","5","75.9","7.7","93.8","7.4",35.1,13.7,6.3
"Jankowski, Travis",608671,2024,190,207,1,".200",".242",".266","0.508","0.042",".255","5","67","6.5","85.4","5.9",25.3,0.7,2.7
"Taylor, Chris",621035,2024,213,246,4,".202",".300",".298","0.598","0.098",".289","2","70","7.2","85.9","16.9",42.9,7.1,6.4
"Ruiz, Keibert",660688,2023,523,562,18,".260",".409",".308","0.717","0.149",".263","6","66.4","7.1","87.4","15.3",39.4,5.8,4.9
