"last_name, first_name","player_id","year","ab","pa","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","avg_swing_speed","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent"
"Urías, Ramón",602104,2023,360,396,4,".264",".375",".328","0.703","0.111",".355","8","70.8","7.4","89.2","7.9",30.4,6.9,3.1
"Donovan, Brendan",680977,2023,327,371,11,".284",".422",".365","0.787","0.138",".311","9","69.6","6.8","89.3","10.6",37.3,5.8,7.6
"Locastro, Tim",641796,2023,56,67,2,".232",".393",".338","0.731","0.161",".344","6","68.3","7.5","83.3","22.2",30.6,8.3,0
"Naylor, Josh",647304,2023,452,495,17,".308",".489",".354","0.843","0.181",".326","3","73.2","7.6","89.1","12.3",35.5,8.2,6.9
"LeMahieu, DJ",518934,2024,201,228,2,".204",".259",".269","0.528","0.055",".229","1","67.3","7.1","88.5","1.9",31.8,5.8,7.5
"Kelly, Carson",608348,2024,281,313,9,".238",".374",".313","0.687","0.136",".266","6","69.5","6.9","87.6","13.6",27.3,6.6,7.9
"Arraez, Luis",650333,2023,574,617,10,".354",".469",".393","0.862","0.115",".362","4","63.9","5.9","88.3","11.5",44.7,3.5,3.7
"Julks, Corey",667452,2023,298,323,6,".245",".352",".297","0.649","0.107",".306","1","71.4","7","87.9","17",36,4.9,5.3
"Frazier, Adam",624428,2023,412,455,13,".240",".396",".300","0.696","0.156",".258","4","66.9","7.1","85.7","15.2",40.9,3.1,3.1
"Barnes, Austin",605131,2023,178,200,2,".180",".242",".256","0.498","0.062",".222","2","68.6","6.5","84.8","6.1",28.3,2.9,5.1
"Urías, Luis",649966,2023,144,177,3,".194",".299",".337","0.636","0.105",".250","10","67.9","7.7","84.9","14.7",23.3,5.8,4.9
"Hilliard, Sam",656541,2024,138,158,10,".239",".507",".305","0.812","0.268",".311","0","75.3","7.3","94.6","16.5",30.7,14.8,2.3
"Jankowski, Travis",608671,2023,247,287,1,".263",".332",".357","0.689","0.069",".311","2","66.4","6.2","85.4","8.1",28.8,0,4.3
"Toglia, Michael",669911,2024,399,458,25,".218",".456",".311","0.767","0.238",".270","1","73.2","7.5","92.1","15.1",39.2,17.3,8.6
"Toglia, Michael",669911,2023,141,152,4,".163",".284",".224","0.508","0.121",".218","1","75.2","7.6","90.2","16.7",31.9,5.5,7.7
"Martinez, J.D.",502110,2024,434,495,16,".235",".406",".320","0.726","0.171",".308","6","72.9","8.4","91","14.4",39.3,14.9,4.4
"Kiermaier, Kevin",595281,2024,259,281,5,".197",".313",".237","0.550","0.116",".272","2","70.4","7.1","86.4","7.3",27.6,3.9,5
"Hicks, Aaron",543305,2023,269,312,8,".253",".383",".353","0.736","0.130",".311","0","66.9","7.2","85.3","12.6",26.4,4,3.5
"Arias, Gabriel",672356,2023,315,345,10,".210",".352",".275","0.627","0.142",".290","1","74.9","7.5","91.1","3.7",31,9.9,5.4
"Cave, Jake",595909,2024,323,346,7,".251",".396",".290","0.686","0.145",".335","1","69.5","7","87.5","7.5",35.8,5.2,5.2
"Smith, Kevin",675656,2023,135,146,5,".185",".326",".220","0.546","0.141",".253","1","69.4","7.4","88","13.6",30.3,9,10.1
"Marte, Noelvi",682622,2024,229,242,4,".210",".301",".248","0.549","0.091",".291","3","73.1","7.5","87","11.4",33.5,6.5,6.5
"Colás, Oscar",693049,2023,245,263,5,".216",".314",".257","0.571","0.098",".281","2","75.5","7.7","88.9","7.1",28.1,7.9,5.1
"Perdomo, Geraldo",672695,2024,337,388,3,".273",".374",".344","0.718","0.101",".317","3","66.9","6.8","87","16.9",28.9,3.1,3.1
"Haniger, Mitch",571745,2024,380,423,12,".208",".334",".286","0.620","0.126",".276","2","72.9","7.1","90.6","13.7",31,9,8.2
"Pérez, Carlos",656024,2023,49,53,1,".204",".347",".264","0.611","0.143",".243","0","67.6","7.2","85.1","13.5",28.9,7.9,0
"Grissom, Vaughn",687093,2024,105,114,0,".190",".219",".246","0.465","0.029",".244","1","69.1","7.3","86.1","8.3",41.5,4.9,3.7
"Blanco, Dairon",680118,2023,124,138,3,".258",".452",".324","0.776","0.194",".330","2","74.4","7.5","86.7","9.1",28,6.5,7.5
"Duran, Ezequiel",677649,2024,268,285,3,".246",".321",".288","0.609","0.075",".310","2","72.6","7.2","87.1","8.9",28.2,3.4,6.3
"Nimmo, Brandon",607043,2024,571,663,23,".224",".399",".327","0.726","0.175",".267","12","73.3","7.3","91.9","11.2",33.7,9.1,6.5
"Rivera, Emmanuel",656896,2023,257,283,4,".261",".358",".314","0.672","0.097",".313","0","69.5","6.9","90.7","11.2",35.6,5.9,7.8
"Arias, Gabriel",672356,2024,153,161,3,".222",".353",".255","0.608","0.131",".316","1","74.5","7.6","89.7","5.6",35.6,7.9,6.9
"Sánchez, Ali",645305,2024,84,96,0,".167",".190",".211","0.401","0.023",".230","1","69.1","7.1","86.8","7.6",26.9,4.5,3
"Bart, Joey",663698,2024,253,282,13,".265",".462",".337","0.799","0.197",".321","6","74.8","7.5","88.1","10.5",32.6,9.4,3.3
"Nimmo, Brandon",607043,2023,592,682,24,".274",".466",".363","0.829","0.192",".324","11","72.7","7.2","91.8","12.2",33.5,9.5,6.4
"Bichette, Bo",666182,2024,311,336,4,".225",".322",".277","0.599","0.097",".269","3","70.4","7.3","89.2","7.2",31.3,4.4,7.2
"Brosseau, Mike",670712,2023,73,78,4,".205",".397",".256","0.653","0.192",".224","1",,,"81.3","13.4",32.1,7.5,5.7
"Tovar, Ezequiel",678662,2023,581,615,15,".253",".408",".287","0.695","0.155",".328","4","71.9","7.5","88","12.6",36.4,8.1,3.6
"Gomes, Yan",543228,2024,91,96,2,".154",".242",".179","0.421","0.088",".222","1","68.7","7.6","87.1","17",42.1,10.5,7
"Crawford, Brandon",543063,2024,71,80,1,".169",".282",".263","0.545","0.113",".250","1","70.6","7.4","89.7","13.5",37.8,6.7,2.2
"Waters, Drew",671221,2023,302,337,8,".228",".377",".300","0.677","0.149",".321","5","73","6.9","87.4","17.2",38.4,10.1,7.6
"Maile, Luke",571912,2023,179,199,6,".235",".391",".308","0.699","0.156",".290","5","68.3","6.7","87.7","14.7",37.4,10.7,6.1
"Fermín, José",665877,2024,71,79,0,".155",".197",".241","0.438","0.042",".183","1","65.5","7.2","85.4","8.3",15,0,5
"Fermin, Freddy",666023,2023,217,235,9,".281",".461",".321","0.782","0.180",".323","1","68.8","7.3","89.9","11.7",35.1,9.9,3.5
"Robert Jr., Luis",673357,2024,393,425,14,".224",".379",".278","0.657","0.155",".310","2","74.5","7.7","90.1","13.5",35.6,9.9,5.1
"Wendle, Joey",621563,2023,297,318,2,".212",".306",".248","0.554","0.094",".264","2","68.3","7","89.2","3.8",31.8,3.4,5.1
"Davis, Jonathan",641505,2023,90,104,2,".244",".378",".307","0.685","0.134",".328","2",,,"84.4","7.1",35.4,4.6,1.5
"Fry, David",681807,2023,101,113,4,".238",".416",".319","0.735","0.178",".299","4","70.8","7.8","89.5","16.5",40.8,12.7,8.5
"Edman, Tommy",669242,2024,139,153,6,".237",".417",".294","0.711","0.180",".257","1","69.8","6.9","87.6","11.4",31.5,3.6,5.4
"Rogers, Jake",668670,2023,331,365,21,".221",".444",".286","0.730","0.223",".268","3","70","7.4","90.4","14.7",40.3,12,10.2
"Hernández, Teoscar",606192,2023,625,678,26,".258",".435",".305","0.740","0.177",".342","8","74","7.9","91.3","12.3",35.2,13.8,6.4
"Sullivan, Brett",664954,2023,81,86,1,".210",".284",".244","0.528","0.074",".258","0","69","7.1","86.9","16.3",31.7,1.6,3.2
"Choi, Ji Man",596847,2023,104,117,6,".163",".385",".239","0.624","0.222",".169","1","72.2","7.3","93.4","11.9",33.8,19.7,8.5
"Tatis Jr., Fernando",665487,2023,575,635,25,".257",".449",".322","0.771","0.192",".299","3","73","7.4","91.9","11",31.5,11,7.8
"Varsho, Daulton",662139,2024,459,513,18,".214",".407",".293","0.700","0.193",".262","4","73.7","7.6","86.1","24.4",30.2,6.2,9
"Madrigal, Nick",663611,2023,270,294,2,".263",".352",".311","0.663","0.089",".283","9","66","6.4","86.2","3.7",29.9,0.8,2
"Suzuki, Seiya",673548,2023,515,583,20,".285",".485",".357","0.842","0.200",".341","2","72.4","7.1","91.4","10.8",36.5,10.5,8.2
"Schoop, Jonathan",570731,2023,136,151,0,".213",".272",".278","0.550","0.059",".287","0",,,"89.4","11.2",32.7,4,8.9
"Sosa, Lenyn",672820,2024,351,369,8,".254",".359",".283","0.642","0.105",".303","3","71.7","7.4","89","12.3",42.2,6.1,9
"Reyes, Pablo",622569,2023,167,185,2,".287",".377",".339","0.716","0.090",".315","0","69.5","7.2","88.1","14.7",34,4,8.7
"Mastrobuoni, Miles",670156,2023,133,149,1,".241",".301",".308","0.609","0.060",".310","0","67.8","6.7","87.5","13.7",31.7,1.9,4.8
"Edman, Tommy",669242,2023,479,528,13,".248",".399",".307","0.706","0.151",".275","7","70.8","6.9","89.1","7.5",27.9,5,5.7
"Higashioka, Kyle",543309,2023,242,260,10,".236",".413",".274","0.687","0.177",".292","0","72.5","7.5","90.1","15.5",36.6,11,7.6
"Acuña Jr., Ronald",660670,2024,192,222,4,".250",".365",".351","0.716","0.115",".326","3","76.8","7.6","92.2","8.5",31.7,9.4,6.5
"Caballero, José",676609,2023,231,280,4,".221",".320",".343","0.663","0.099",".285","17","69.3","6.7","83.3","21.5",33.1,3.6,4.1
"Smith, Pavin",656976,2024,137,158,9,".270",".547",".348","0.895","0.277",".280","0","73","7.4","90.2","13.1",34.9,14.7,2.8
"Urshela, Gio",570482,2024,432,461,9,".250",".361",".286","0.647","0.111",".278","1","68.2","7.1","86.4","10.5",38.6,4.9,5.2
"Grossman, Robbie",543257,2024,208,245,3,".212",".293",".322","0.615","0.081",".275","1","67.5","6.5","86.3","13.3",30.3,3.3,4.6
"Thomas, Alek",677950,2023,374,402,9,".230",".374",".273","0.647","0.144",".273","4","70","6.8","88.9","2.2",28.3,5.1,6.8
"Stephenson, Tyler",663886,2024,457,515,19,".258",".444",".338","0.782","0.186",".307","8","70.8","7.4","90.2","10.9",33,9.1,6.1
"Buxton, Byron",621439,2023,304,347,17,".207",".438",".294","0.732","0.231",".253","4","76.2","8","91.5","20.1",33.2,14.6,8.5
"Kiner-Falefa, Isiah",643396,2024,465,496,8,".269",".376",".306","0.682","0.107",".307","10","67","6.8","86.1","9.1",31.6,2.3,5.1
"Perez, Salvador",521692,2024,590,652,27,".271",".456",".330","0.786","0.185",".302","11","73.2","7.9","91.1","19",39.4,12.2,6.6
"Wisdom, Patrick",621550,2023,268,302,23,".205",".500",".289","0.789","0.295",".237","2","76.6","8","92.7","21.7",33.3,20.1,4.4
"Yepez, Juan",660766,2024,226,249,6,".283",".429",".335","0.764","0.146",".320","1","70.5","7.3","86.6","8.5",30.3,5.9,5.3
"Albies, Ozzie",645277,2023,596,660,33,".280",".513",".336","0.849","0.233",".289","8","70","7.3","88.7","16.6",37.4,8.2,10.5
"Profar, Jurickson",595777,2023,459,521,9,".242",".368",".321","0.689","0.126",".279","6","71","7.3","86.5","14.8",37.7,4,5.1
"Gurriel Jr., Yuli",493329,2023,298,329,4,".245",".359",".304","0.663","0.114",".272","1","70.6","7.7","88.6","16.5",32.2,1.9,5
"Wallner, Matt",670242,2024,220,261,13,".259",".523",".372","0.895","0.264",".389","16","77.3","7.3","92.8","21.6",38.1,17.5,10.3
"Wade, Tyler",642180,2024,138,156,0,".217",".239",".285","0.524","0.022",".275","2","66.1","6.7","83.7","14.5",38.1,1.8,2.7
"Lewis, Kyle",641786,2023,51,54,1,".157",".255",".204","0.459","0.098",".241","0","71","7.1","89.1","23.6",26.7,6.7,3.3
"Donovan, Brendan",680977,2024,587,652,14,".278",".417",".342","0.759","0.139",".300","13","69.6","6.9","88.7","13.2",36.6,5.5,6.5
"Grichuk, Randal",545341,2023,434,471,16,".267",".459",".321","0.780","0.192",".309","6","74.5","7.6","89.6","14",35,7.1,8.8
"O'Neill, Tyler",641933,2023,238,266,9,".231",".403",".312","0.715","0.172",".284","0","72.6","7","89.2","15",29.2,12.3,5.8
"Bethancourt, Christian",542194,2024,139,147,5,".209",".367",".241","0.608","0.158",".245","1","71.9","7.5","89.1","12.4",25.7,7.6,4.8
"Stewart, DJ",621466,2024,158,194,5,".177",".297",".325","0.622","0.120",".217","4","71.5","7.1","89.7","19.1",34.2,8.1,8.1
"Lee, Jung Hoo",808982,2024,145,158,2,".262",".331",".310","0.641","0.069",".273","1","70.6","7.4","89.1","9.2",29.1,4.5,5.2
"Urías, Ramón",602104,2024,272,301,11,".254",".423",".322","0.745","0.169",".280","5","70.5","7.5","88.3","12.8",32.6,8.7,5.5
"Vosler, Jason",613564,2023,62,65,3,".161",".371",".200","0.571","0.210",".206","0",,,"86","25.8",29.7,8.1,10.8
"Daza, Yonathan",602074,2023,74,80,0,".270",".351",".304","0.655","0.081",".323","1",,,"85","13.6",30.2,1.6,4.8
"McCann, James",543510,2024,214,233,8,".234",".388",".279","0.667","0.154",".273","2","70.7","6.9","87.4","14.4",38.9,8.6,9.3
"Delay, Jason",641511,2023,167,187,1,".251",".347",".319","0.666","0.096",".333","3","67.1","7.1","83.8","12.3",34.9,3.2,4
"Mervis, Matt",670223,2023,90,99,3,".167",".289",".242","0.531","0.122",".218","1",,,"91","8.4",36.2,13.8,10.3
"De La Cruz, Bryan",650559,2023,579,626,19,".257",".411",".304","0.715","0.154",".307","1","72.2","7.7","89.9","11.8",41,8.8,7.2
"Kieboom, Carter",666198,2023,87,94,4,".207",".368",".266","0.634","0.161",".250","1","71.4","7.1","86.1","15.2",33.3,5,1.7
"Reyes, Franmil",614177,2023,59,65,2,".186",".288",".231","0.519","0.102",".257","0",,,"93","-2.1",27,16.2,2.7
"McCann, James",543510,2023,207,226,6,".222",".377",".269","0.646","0.155",".274","5","70.4","7.2","89.8","16.6",37.4,7.1,9
"d'Arnaud, Travis",518595,2024,307,341,15,".238",".436",".302","0.738","0.198",".280","6","71.4","7.8","89.9","11.6",32.9,10.4,7.2
"Taveras, Leody",665750,2023,511,554,14,".266",".421",".312","0.733","0.155",".318","1","71.3","7.3","90.1","10.2",35.2,7.2,5.5
"Jackson, Alex",656577,2024,139,155,3,".122",".237",".201","0.438","0.115",".167","2","74.4","7.5","86.7","20.2",21.6,9.1,1.1
"Sánchez, Gary",596142,2024,245,280,11,".220",".392",".307","0.699","0.172",".267","5","73.1","7.4","90","16.2",31.4,10.5,7.6
"Vargas, Miguel",678246,2023,256,304,7,".195",".367",".305","0.672","0.172",".224","4",,,"86.8","16.6",32,6,7.5
"Davis, Henry",680779,2023,225,255,7,".213",".351",".302","0.653","0.138",".273","4","73.1","7.2","88.6","12.5",35,7,5.7
"Walsh, Jared",665120,2024,53,60,1,".226",".321",".317","0.638","0.095",".355","0","75","7.6","84.2","21.5",40.6,9.4,3.1
"Kiermaier, Kevin",595281,2023,370,408,8,".265",".419",".322","0.741","0.154",".321","4","69.8","7.1","86.7","5.6",29.4,3.5,2.8
"Raley, Luke",670042,2023,357,406,19,".249",".490",".333","0.823","0.241",".330","18","75.7","7.4","91.1","17.3",29.3,12.9,5.2
"Lopez, Otto",672640,2024,403,434,6,".270",".377",".313","0.690","0.107",".318","1","70.7","6.6","88","5.4",30.4,5.1,4.8
"Harris II, Michael",671739,2024,440,470,16,".264",".418",".304","0.722","0.154",".300","4","74.7","8.1","90.5","7.5",33.5,10,8.3
"Campusano, Luis",669134,2024,277,299,8,".227",".361",".281","0.642","0.134",".240","1","69.2","7.6","87.7","9.9",27.4,4.6,4.6
"López, Jack",605346,2024,67,71,1,".254",".343",".286","0.629","0.089",".390","1","71.2","7.5","87.3","10",32.6,2.3,2.3
"Suwinski, Jack",669261,2023,447,534,26,".224",".454",".339","0.793","0.230",".290","6","73.7","7.3","90.5","22.4",34.2,15.7,7.5
"Grisham, Trent",663757,2023,469,555,13,".198",".352",".315","0.667","0.154",".264","5","70.5","7.6","90.3","18.3",32.8,11.9,7.5
"Nevin, Tyler",663527,2023,95,111,2,".200",".316",".306","0.622","0.116",".246","3","67.2","6.9","89.3","13.7",26.8,7,5.6
"Trejo, Alan",676701,2023,207,227,4,".232",".343",".288","0.631","0.111",".286","1","67.8","7","85.5","14.6",36.5,4.4,6.3
"Mateo, Jorge",622761,2023,318,350,7,".217",".340",".267","0.607","0.123",".267","1","73.4","7.6","88.4","10.4",28.3,5.3,9.4
"McLain, Matt",680574,2023,365,403,16,".290",".507",".357","0.864","0.217",".385","7","70.3","7","89.3","13.8",39.6,10.8,7.6
"McKinstry, Zach",656716,2024,297,325,4,".215",".337",".277","0.614","0.122",".265","2","67.2","6.7","88","18.7",37.8,4.3,7.8
"Frelick, Sal",686217,2024,475,524,2,".259",".335",".320","0.655","0.076",".306","4","66.3","6.9","83.4","9.7",30,0.8,3.5
"Madrigal, Nick",663611,2024,86,94,0,".221",".256",".280","0.536","0.035",".250","3","65.4","6.5","85.1","3.4",27.3,0,0
"Thomas, Lane",657041,2023,628,682,28,".268",".468",".315","0.783","0.200",".325","11","71.7","6.9","88.5","10.8",36.8,9.6,6.5
"Soto, Juan",665742,2023,568,708,35,".275",".519",".410","0.929","0.244",".296","2","74.6","7.3","93.2","6.7",28.5,13,7.6
"Phillips, Brett",621433,2023,63,71,3,".175",".333",".268","0.601","0.158",".333","0","68.1","6.7","86.7","18.2",29.6,7.4,11.1
"Melendez Jr., MJ",669004,2024,412,451,17,".206",".400",".273","0.673","0.194",".241","3","72.8","7.7","91.1","14.6",29.1,8.4,9
"Loperfido, Joey",694388,2024,243,262,4,".214",".350",".264","0.614","0.136",".331","4","72.9","7.7","88.3","12.9",40.7,4,5.3
"Martini, Nick",605361,2024,146,163,5,".212",".370",".272","0.642","0.158",".245","4","69.8","6.9","87.4","14.9",32.4,7.2,1.8
"DeLuca, Jonny",676356,2024,332,362,6,".217",".331",".278","0.609","0.114",".265","4","70.8","7.6","84.6","16.2",32.7,3.9,4.7
"Myers, Wil",571976,2023,127,141,3,".189",".283",".257","0.540","0.094",".273","0",,,"87.6","11",29.6,6.2,2.5
"Heim, Jonah",641680,2024,459,491,13,".220",".336",".267","0.603","0.116",".246","4","70.2","7.4","88.5","14.5",29.9,5.9,5.9
"Bauers, Jake",641343,2024,302,346,12,".199",".361",".301","0.662","0.162",".279","5","73.8","7.5","89.4","22.6",38.6,10.3,9.2
"Luplow, Jordan",656669,2023,77,90,2,".208",".325",".322","0.647","0.117",".292","1","70.1","7.2","85.4","14.1",24,6,2
"Betts, Mookie",605141,2023,584,693,39,".307",".579",".408","0.987","0.272",".316","8","71.3","7.2","92.4","20.6",42.5,12.4,11.2
"Caballero, José",676609,2024,441,483,9,".227",".347",".283","0.630","0.120",".301","9","69.7","7","83.7","15.9",33.8,5.1,4.8
"Marlowe, Cade",687799,2023,88,100,3,".239",".420",".330","0.750","0.181",".346","0","68.7","6.7","86.6","20.8",41.8,7.3,5.5
"Riley, Austin",663586,2023,636,715,37,".281",".516",".345","0.861","0.235",".324","9","76.2","7.5","92.3","13.5",35.2,13.9,7.8
"Marte, Noelvi",682622,2023,114,123,3,".316",".456",".366","0.822","0.140",".384","1","74.1","7.3","91.3","1.9",27,7.9,3.4
"Soderstrom, Tyler",691016,2024,189,213,9,".233",".429",".315","0.744","0.196",".273","3","74.4","7.5","91.9","9.6",31.4,14.6,9.5
"Cruz, Oneil",665833,2024,541,599,21,".259",".449",".324","0.773","0.190",".347","3","78.6","7.7","95.5","9.8",32.1,15.7,4.7
"Lowe, Josh",666139,2023,466,501,20,".292",".500",".335","0.835","0.208",".357","1","73.9","7.2","89.1","14.3",36.2,11,4.1
"Bride, Jonah",681146,2023,88,106,0,".170",".205",".286","0.491","0.035",".221","4","69.4","7.3","89","4.1",34.8,4.3,11.6
"Schuemann, Max",680474,2024,396,459,7,".220",".308",".311","0.619","0.088",".292","7","68.3","6.7","89","16.6",39.5,5.6,7
"Hensley, David",682073,2024,52,58,1,".212",".288",".293","0.581","0.076",".294","0","70.6","6.8","84","-7.7",20,2.9,2.9
"Meadows, Parker",678009,2023,125,145,3,".232",".368",".331","0.699","0.136",".302","2","70.1","7.3","89.3","18.3",36,9,6.7
"Pederson, Joc",592626,2023,358,425,15,".235",".416",".348","0.764","0.181",".268","7","72.6","7.4","92.1","15.2",33.5,12.1,8.5
"Schneider, Davis",676914,2024,397,454,13,".191",".343",".282","0.625","0.152",".257","5","69.8","6.9","88.6","21.4",38,12,6.6
"Zunino, Mike",572287,2023,124,140,3,".177",".306",".271","0.577","0.129",".317","1",,,"85.9","15.1",28.6,7.9,12.7
"Allen, Nick",669397,2024,97,105,1,".175",".247",".216","0.463","0.072",".211","0","65","6.5","84.4","8.9",25,1.3,0
"Casas, Triston",671213,2023,429,502,24,".263",".490",".367","0.857","0.227",".317","1","75.8","7.8","91.1","15.7",36.1,13.1,7.5
"Adell, Jo",666176,2024,405,451,20,".207",".402",".280","0.682","0.195",".244","7","76.7","7.6","89.8","15.9",30.5,11.7,7.4
"Maldonado, Martín",455117,2024,135,147,4,".119",".230",".174","0.404","0.111",".150","1","70.9","7.6","88","20.1",29.9,8,4.6
"Smith, Pavin",656976,2023,191,228,7,".188",".325",".317","0.642","0.137",".209","1","72.7","7.5","89.9","13.8",34.9,7.5,7.5
"Brennan, Will",686823,2023,432,455,5,".266",".356",".299","0.655","0.090",".296","5","68.2","6.9","85.7","9.4",35.8,2.4,2.9
"McGuire, Reese",624512,2024,139,158,3,".209",".295",".280","0.575","0.086",".260","2","68.8","8.1","84","12.4",29.8,6.7,6.7
"Peña, Jeremy",665161,2024,602,650,15,".266",".394",".308","0.702","0.128",".301","14","72.6","7.6","88.2","7.5",29.2,5.4,5.4
"Baddoo, Akil",668731,2024,73,82,2,".137",".301",".220","0.521","0.164",".178","0","71.7","7.5","91.1","21",25.5,12.8,6.4
"Marisnick, Jake",545350,2023,76,83,2,".237",".408",".280","0.688","0.171",".296","2","70.4","7.5","88.5","21.9",31.6,5.3,8.8
"Stallings, Jacob",607732,2024,243,281,9,".263",".453",".357","0.810","0.190",".324","9","67.6","7.2","86.6","12.8",38.9,7.2,7.2
"Gonzalez, Oscar",660757,2023,173,180,2,".214",".312",".239","0.551","0.098",".278","1","73.9","7.2","88.5","6.4",31.3,7.8,5.5
"Marsh, Brandon",669016,2024,418,476,16,".249",".419",".328","0.747","0.170",".348","2","71.9","7.2","91.6","13.8",40.7,10,11.9
"Ahmed, Nick",605113,2023,198,210,2,".212",".303",".257","0.560","0.091",".278","0","69.7","7.3","85.2","12.8",32.9,2.7,6.8
"Lux, Gavin",666158,2024,439,487,10,".251",".383",".320","0.703","0.132",".312","2","71.2","7.3","88.3","9.1",35,6,7.3
"Massey, Michael",686681,2023,428,461,15,".229",".381",".274","0.655","0.152",".261","4","70.8","7.2","88.6","19.7",38,7.8,7.5
"Soler, Jorge",624585,2023,504,580,36,".250",".512",".341","0.853","0.262",".272","6","75.8","7.8","91.3","17.8",36.5,15,10.4
"Friedl Jr., TJ",670770,2024,297,341,13,".226",".380",".310","0.690","0.154",".229","12","70.5","6.8","86","16.7",29.9,3.2,5.6
"Grichuk, Randal",545341,2024,254,279,12,".291",".528",".348","0.876","0.237",".313","3","73.7","7.7","90.6","17.3",34.3,11,7.6
"Altuve, Jose",514888,2024,628,682,20,".295",".439",".350","0.789","0.144",".337","7","69.4","7.8","86.5","14.1",35.4,6.5,3.9
"Laureano, Ramón",657656,2023,361,404,9,".224",".371",".304","0.675","0.147",".301","9","71.1","6.8","88.2","12.9",34.7,9.7,4.4
"Drury, Brandon",592273,2024,325,360,4,".169",".228",".242","0.470","0.059",".210","5","72.6","7.4","87.6","6",25.9,3.6,6.1
"Alberto, Hanser",593643,2023,82,90,3,".220",".390",".261","0.651","0.170",".224","1",,,"84.3","15.5",33.3,4.2,4.2
"Butler, Lawrence",671732,2024,412,451,22,".262",".490",".317","0.807","0.228",".301","0","74.2","7.1","91.1","11.3",35.1,11,5.8
"Hoerner, Nico",663538,2024,582,641,7,".273",".373",".335","0.708","0.100",".297","12","68.2","7.1","85.7","10.4",36,1.2,2.1
"Wallach, Chad",595453,2023,157,172,7,".197",".376",".259","0.635","0.179",".258","0","73.2","7.7","87.7","16.7",35.3,10.8,4.9
"Chisholm Jr., Jazz",665862,2024,562,621,24,".256",".436",".324","0.760","0.180",".309","4","71.9","7.5","89.7","11.4",29.6,9.7,5.8
"Correa, Carlos",621043,2023,514,580,18,".230",".399",".312","0.711","0.169",".272","4","74.8","7.3","90.4","10.6",31.1,9.6,7
"Walsh, Jared",665120,2023,104,116,4,".125",".279",".216","0.495","0.154",".164","1","73.3","7.9","86.1","18.4",27.1,6.8,5.1
"Hosmer, Eric",543333,2023,94,100,2,".234",".330",".280","0.610","0.096",".299","0",,,"85.1","3.4",23.2,5.8,0
"Marsh, Brandon",669016,2023,404,472,12,".277",".458",".372","0.830","0.181",".397","4","71.8","7.2","91.3","12.4",37.7,9.1,8.3
"Miller, Owen",680911,2023,291,314,5,".261",".371",".303","0.674","0.110",".310","2","69.2","6.6","86.3","12.9",34.2,3.4,6
"Mead, Curtis",678554,2023,83,92,1,".253",".349",".326","0.675","0.096",".328","2","71.2","7.3","83.5","12.6",29,3.2,6.5
"Florial, Estevan",664314,2024,98,111,3,".173",".367",".264","0.631","0.194",".259","1","73","7.1","88.7","12.8",36.2,10.3,6.9
"Iglesias, Jose",578428,2024,270,291,4,".337",".448",".381","0.829","0.111",".382","8","69.8","6.8","85.8","9",36.2,2.2,4.3
"Belt, Brandon",474832,2023,339,404,19,".254",".490",".369","0.859","0.236",".370","2","72.7","7","88.7","19.8",44.5,15,6
"McCarthy, Jake",664983,2023,276,312,2,".243",".326",".318","0.644","0.083",".305","5","68.8","6.9","85.3","7.5",32,2.3,6.8
"Reynolds, Bryan",668804,2024,622,692,24,".275",".447",".344","0.791","0.172",".330","10","71.6","6.8","89.9","9.4",37.5,9.6,7.2
"Mauricio, Ronny",677595,2023,101,108,2,".248",".347",".296","0.643","0.099",".338","0","74.7","7.7","90.7","7.6",37.1,5.7,5.7
"Yepez, Juan",660766,2023,60,65,2,".183",".300",".246","0.546","0.117",".237","1","72.7","7.3","80","25.2",35,7.5,2.5
"Acuña Jr., Ronald",660670,2023,643,735,41,".337",".596",".416","1.012","0.259",".338","9","77.3","7.4","94.7","7.4",33.6,15.3,9.1
"Witt Jr., Bobby",677951,2024,636,709,32,".332",".588",".389","0.977","0.256",".354","8","74.7","7.1","92.7","15.1",35.7,14.3,5.6
"Harris, Brett",695391,2024,103,123,3,".146",".262",".276","0.538","0.116",".158","2","70.3","7.2","87.4","12.8",26.6,5.1,2.5
"Anderson, Tim",641313,2024,234,241,0,".214",".226",".237","0.463","0.012",".301","0","69.7","7.2","86.1","1.4",29.5,1.8,4.8
"Stott, Bryson",681082,2023,585,640,15,".280",".419",".329","0.748","0.139",".312","7","67.9","7","88.1","10.1",36.4,4.7,5.3
"Carpenter, Matt",572761,2024,137,157,4,".234",".372",".314","0.686","0.138",".333","2","69.3","8.1","85.8","24.2",46.6,6.8,8
"Lopez, Nicky",670032,2024,398,445,1,".241",".294",".312","0.606","0.053",".288","4","64.2","6.7","85","5.6",30,1.5,1.5
"Barnhart, Tucker",571466,2024,81,96,0,".173",".210",".287","0.497","0.037",".280","0","67.4","7.4","83.4","3.2",34.6,3.8,1.9
"Jeffers, Ryan",680777,2023,286,335,14,".276",".490",".369","0.859","0.214",".359","10","73.8","7.7","90.5","17.2",34.2,11.6,5
"Millas, Drew",686452,2024,57,62,1,".246",".316",".306","0.622","0.070",".325","0","68.5","7.1","88","2.7",39,2.4,4.9
