"last_name, first_name","player_id","year","ab","pa","home_run","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","woba","avg_swing_speed","fast_swing_rate","blasts_swing","squared_up_swing","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","z_swing_percent","oz_swing_percent","iz_contact_percent","whiff_percent"
"Chisholm Jr., Jazz",665862,2024,562,621,24,24.5,".256",".436",".324","0.760","0.180",".309","4",".327","71.9",23.3,10.6,22.8,"7.5","89.7","11.4",29.6,9.7,5.8,67.1,29.2,75.2,29.3
"Iglesias, Jose",578428,2024,270,291,4,13.4,".337",".448",".381","0.829","0.111",".382","8",".362","69.8",9.2,7.2,28.5,"6.8","85.8","9",36.2,2.2,4.3,64.8,39.5,87.9,15.2
"Mead, Curtis",678554,2023,83,92,1,22.8,".253",".349",".326","0.675","0.096",".328","2",".302","71.2",17.5,6.3,18.9,"7.3","83.5","12.6",29,3.2,6.5,67.1,32.2,83.6,24.6
"Wilson, Weston",642215,2024,88,98,3,29.6,".284",".489",".347","0.836","0.205",".386","1",".358","72.3",24,10.7,24.7,"7.5","89.7","19.1",35,15,11.7,65.9,27.4,79.2,33.9
"Reynolds, Bryan",668804,2024,622,692,24,22.5,".275",".447",".344","0.791","0.172",".330","10",".343","71.6",17.1,12.7,26.7,"6.8","89.9","9.4",37.5,9.6,7.2,74,30.2,81.3,29.4
"Paredes, Isaac",670623,2023,492,571,31,18.2,".250",".488",".352","0.840","0.238",".257","20",".362","68.1",4.4,6,26.7,"8.1","86.9","22.2",32.4,5.9,5.9,66,28.3,89.2,18.2
"Belt, Brandon",474832,2023,339,404,19,34.9,".254",".490",".369","0.859","0.236",".370","2",".369","72.7",16.9,9.7,14.6,"7","88.7","19.8",44.5,15,6,67,17.9,74.3,32.5
"Caratini, Victor",605170,2023,201,226,7,19.9,".259",".383",".327","0.710","0.124",".296","3",".312","72.1",23.3,15.1,30.1,"7.1","91.3","10.8",23.3,5,3.8,65.8,22.6,84.9,21.1
"Thomas, Alek",677950,2024,95,103,3,16.5,".189",".358",".245","0.603","0.169",".200","0",".262","70.9",8.1,14.7,35.3,"7.1","91.2","1",26.6,7.6,7.6,66,30.3,83.1,25.1
"Alberto, Hanser",593643,2023,82,90,3,14.4,".220",".390",".261","0.651","0.170",".224","1",".279",,,,,,"84.3","15.5",33.3,4.2,4.2,84.6,50.3,87.3,19.8
"Naylor, Bo",666310,2023,198,230,11,23,".237",".470",".339","0.809","0.233",".267","1",".347","72.1",24.1,7.1,19.7,"7.3","87.7","21",37,8.2,3.4,66.5,23.9,84.9,21.8
"Mauricio, Ronny",677595,2023,101,108,2,28.7,".248",".347",".296","0.643","0.099",".338","0",".284","74.7",48.7,10.1,17.5,"7.7","90.7","7.6",37.1,5.7,5.7,71.8,42.4,77.9,30.9
"Yepez, Juan",660766,2023,60,65,2,30.8,".183",".300",".246","0.546","0.117",".237","1",".243","72.7",32.6,0,4.7,"7.3","80","25.2",35,7.5,2.5,68,35.7,81.6,26.1
"Thaiss, Matt",642136,2024,157,186,2,31.2,".204",".299",".323","0.622","0.095",".306","0",".286","72.4",23.5,9,18.7,"7.8","86.6","12.9",33,8,8,68.3,22,65.4,39.6
"Tellez, Rowdy",642133,2023,311,351,13,24.5,".215",".376",".291","0.667","0.161",".249","0",".288","74.5",48,16.3,25.5,"7.9","89.9","15.2",35.7,8.7,7.8,52.9,24.2,85.4,21.9
"Realmuto, J.T.",592663,2024,380,413,14,24.7,".266",".429",".322","0.751","0.163",".328","5",".326","73.2",35.7,12.8,22.5,"7.6","89.2","9.4",36.9,10.4,9.7,69.4,30.2,82.4,26.2
"Witt Jr., Bobby",677951,2024,636,709,32,15,".332",".588",".389","0.977","0.256",".354","8",".410","74.7",48.3,16.1,27.5,"7.1","92.7","15.1",35.7,14.3,5.6,72.3,32.1,84.8,22.3
"Semien, Marcus",543760,2023,670,753,29,14.6,".276",".478",".348","0.826","0.202",".291","5",".354","68.7",4.9,8.5,31.6,"7.6","88.4","19.1",37.5,6.5,6.9,72.9,21.4,88.4,18
"Lopez, Nicky",670032,2024,398,445,1,15.1,".241",".294",".312","0.606","0.053",".288","4",".275","64.2",0.5,2.5,32.3,"6.7","85","5.6",30,1.5,1.5,68.6,27.9,86,19.4
"Harris, Brett",695391,2024,103,123,3,20.3,".146",".262",".276","0.538","0.116",".158","2",".252","70.3",9.2,13.3,28.9,"7.2","87.4","12.8",26.6,5.1,2.5,60.9,19.1,80.3,23.8
"Soler, Jorge",624585,2024,493,574,21,24.6,".241",".442",".338","0.780","0.201",".293","6",".340","75.4",56.6,11.5,21.7,"7.9","90.5","17.9",33.4,12.6,7.3,64.8,26.8,82.9,28.9
"Mullins II, Cedric",656775,2023,404,455,15,22.2,".233",".416",".305","0.721","0.183",".271","1",".311","71.1",8.6,9.4,25.5,"7.6","88.9","21.6",28.1,6.5,3.5,70.8,26.7,80.2,24.9
"Turner, Justin",457759,2023,558,626,23,17.6,".276",".455",".345","0.800","0.179",".304","11",".346","66.4",0.5,8.6,32.8,"6.5","89.5","16.5",36.8,5.7,9.3,63.5,25.7,87.8,17.5
"Millas, Drew",686452,2024,57,62,1,25.8,".246",".316",".306","0.622","0.070",".325","0",".280","68.5",4.3,7.4,28.7,"7.1","88","2.7",39,2.4,4.9,65.9,26.4,86.4,22.6
"Burger, Jake",669394,2023,492,540,34,27.6,".250",".518",".309","0.827","0.268",".284","12",".349","76",64.7,16.3,22.7,"7.7","91.9","12.3",33.4,16.7,6.9,70.8,38.5,78.5,34.1
"Stott, Bryson",681082,2023,585,640,15,15.6,".280",".419",".329","0.748","0.139",".312","7",".323","67.9",0.7,8.5,33.9,"7","88.1","10.1",36.4,4.7,5.3,59.1,29.5,87.8,15.3
"Chavis, Michael",656308,2023,91,96,2,34.4,".242",".341",".281","0.622","0.099",".357","0",".273","72.7",28.9,9.6,18.1,"7.3","84.5","8.9",41.4,1.7,6.9,72.3,33.7,73.2,34
"Stanton, Giancarlo",519317,2023,371,415,24,29.9,".191",".420",".275","0.695","0.229",".210","2",".297","81",96.4,14.7,16.5,"8.5","93.3","12.5",27.4,15.7,6.5,60.2,27.2,76,34.1
"Fairchild, Stuart",656413,2023,219,255,5,27.1,".228",".388",".321","0.709","0.160",".306","6",".312","70.4",6.3,8.9,18.8,"7.4","85.9","14.3",32.3,7.7,9,75.6,24.4,75.1,33.9
"Edwards, Xavier",669364,2024,265,303,1,17.2,".328",".423",".397","0.820","0.095",".398","0",".359","64.5",0.2,4.3,31.5,"6.3","86.1","6.7",37.6,1.8,3.7,70.2,24.8,86.5,16.9
"Walsh, Jared",665120,2023,104,116,4,38.8,".125",".279",".216","0.495","0.154",".164","1",".222","73.3",22.1,5.9,16.2,"7.9","86.1","18.4",27.1,6.8,5.1,66.2,27.4,63.3,45.3
"Peralta, David",444482,2023,394,422,7,17.1,".259",".381",".294","0.675","0.122",".296","2",".290","72.1",24.3,9.7,22.9,"7.3","89.3","8.2",31.1,4.9,7,74.3,34.1,84.7,22.5
"Correa, Carlos",621043,2023,514,580,18,22.6,".230",".399",".312","0.711","0.169",".272","4",".309","74.8",51.4,17.7,27.2,"7.3","90.4","10.6",31.1,9.6,7,62.1,26.7,83.4,25.1
"Biggio, Cavan",624415,2024,188,224,5,32.1,".197",".303",".314","0.617","0.106",".288","8",".285","66.8",3.2,1.8,19.5,"6.9","82","21.2",37.3,2.5,5.9,55.4,18.1,83.9,23.8
"O'Hearn, Ryan",656811,2024,443,494,15,14,".264",".427",".334","0.761","0.163",".282","2",".330","72.4",24.3,12.5,28.3,"7.1","89.6","12",35,6.9,9.3,67.7,26.2,89.7,18.1
"Freeman, Freddie",518692,2023,637,730,29,16.6,".331",".567",".410","0.977","0.236",".370","16",".411","70.5",11.4,11.3,25.2,"6.7","90","15.2",46.6,11.1,8.8,76.1,26.9,85.7,20.4
"Arozarena, Randy",668227,2023,551,654,23,23.9,".254",".425",".364","0.789","0.171",".310","18",".347","72.9",32,12.3,24,"7.5","91.7","11.3",31.8,12.3,7.8,61,27.5,76.5,29.1
"Rocchio, Brayan",677587,2023,81,86,0,31.4,".247",".321",".279","0.600","0.074",".364","0",".263","68.1",2.1,2.1,20.1,"7.1","85.8","1.5",30.9,0,5.5,69.9,40.3,77.6,32.6
"Correa, Carlos",621043,2024,319,367,14,16.6,".310",".517",".388","0.905","0.207",".343","3",".385","74.5",45.4,16.2,26.2,"7.3","90.3","8.9",34.4,9.2,7.6,65.5,25.5,86.5,20.4
"Arenado, Nolan",571448,2023,560,612,26,16.5,".266",".459",".315","0.774","0.193",".279","3",".327","71.4",16.3,10.6,26.7,"8.2","88.8","16.9",33,7.3,6,65.5,34.1,89.4,20.2
"Sabol, Blake",666165,2023,310,344,13,34,".235",".394",".301","0.695","0.159",".330","6",".303","71.6",11.9,5.9,16,"7.4","89.1","16.1",31,11.2,6.1,75.6,28.1,69.4,35.6
"Ramírez, Harold",623912,2024,238,246,2,20.3,".261",".324",".280","0.604","0.063",".321","2",".265","71.7",28.3,8.2,25.5,"7.3","87","-0.2",27.5,3.2,2.1,68.7,45.3,79.9,31.4
"Baldwin, Brooks",681460,2024,114,121,2,25.6,".211",".316",".250","0.566","0.105",".272","0",".249","71.2",8.4,7,21,"7.1","87.4","26.2",34.5,4.8,6,78,35,77.6,24.9
"Bichette, Bo",666182,2023,571,601,20,19.1,".306",".475",".339","0.814","0.169",".355","2",".349","70.1",15.9,11.4,24,"7.2","90.2","6.2",38.3,9.6,6.1,77.1,36.4,87,21.1
"Pillar, Kevin",607680,2024,284,314,8,22,".229",".377",".291","0.668","0.148",".271","10",".293","69.4",5.7,7,22.2,"7.6","84.6","17.9",36.5,3.7,7.8,67.8,37.9,85.4,24.5
"Acuña Jr., Ronald",660670,2023,643,735,41,11.4,".337",".596",".416","1.012","0.259",".338","9",".428","77.3",70.1,21.6,29.9,"7.4","94.7","7.4",33.6,15.3,9.1,70.7,22.6,85.6,18.7
"Ortega, Rafael",542364,2023,114,136,1,24.3,".219",".272",".341","0.613","0.053",".300","1",".288","69.2",7.1,5.7,24.6,"7.3","86.8","10.6",30.5,0,3.7,62.8,23.1,82.1,23.1
"Rosario, Eddie",592696,2023,478,516,21,23.6,".255",".450",".305","0.755","0.195",".300","1",".322","70.4",11.2,8.3,24.2,"7.1","88.6","14.5",35.9,9.5,5.6,73.6,43.5,76.5,29.8
"Rice, Ben",700250,2024,152,178,7,27,".171",".349",".264","0.613","0.178",".186","1",".269","71.4",14.6,8.1,23.4,"7.4","90","17.7",34.9,15.6,1.8,72.9,20.6,82.4,25.8
"Myers, Dane",667472,2024,95,108,3,33.3,".263",".442",".333","0.775","0.179",".379","3",".335","71.2",15.8,9.5,25.9,"7.2","89.9","11.4",32.8,11.5,1.6,60.1,26.2,73.9,29.4
"Thompson, Trayce",572204,2023,153,179,6,43,".163",".294",".285","0.579","0.131",".271","2",".266","72.7",25.5,8.1,16.8,"7.7","89.3","21.8",34.2,11.8,7.9,62.4,20.4,66.8,43.3
"Moniak, Mickey",666160,2023,311,323,14,35,".280",".495",".307","0.802","0.215",".397","3",".339","72.9",28.9,8.8,17.6,"7.7","89","19.7",38.9,12.6,3.5,78.4,46.7,71.8,38.8
"Solano, Donovan",456781,2024,283,309,8,21,".286",".417",".343","0.760","0.131",".346","3",".333","67.1",1.4,6.6,24.8,"7","87.3","13.7",37,3.7,7.3,63.8,29.6,86.4,23.5
"Florial, Estevan",664314,2023,61,71,0,28.2,".230",".311",".324","0.635","0.081",".333","2",".288","72.3",17.4,7.4,17.4,"7.3","86.2","17.2",38.1,2.4,9.5,72.8,20.4,69.2,36.5
"Winn, Masyn",691026,2024,587,637,15,17.1,".267",".416",".314","0.730","0.149",".303","1",".315","70.2",11.5,9.9,26.5,"7.3","87","13.2",33.5,3.7,6.4,62.7,30.4,86.1,19
"Rojas, Josh",668942,2023,314,350,4,23.1,".245",".338",".303","0.641","0.093",".313","1",".284","67.9",0.9,7.4,30.4,"7.3","87.1","13",35.6,3.8,5.9,61.8,25.8,82.5,24.2
"O'Hearn, Ryan",656811,2023,346,368,14,22.3,".289",".480",".322","0.802","0.191",".340","3",".339","72.2",21.3,12.1,27.5,"7.1","91.9","12",35.1,10.1,7.8,72.1,30.9,86.1,23.3
"Toro, Abraham",647351,2024,337,364,6,17,".240",".350",".293","0.643","0.110",".279","5",".283","69.6",10.7,8.9,29.9,"7.6","87.2","12.2",33.2,4.3,5.4,65.7,30.9,89.8,17.4
"Narváez, Omar",553882,2023,128,146,2,18.5,".211",".297",".283","0.580","0.086",".245","0",".259","67.3",1.2,8.4,29.3,"7.1","86","21",44.8,7.6,6.7,68.7,24,85.6,16.6
"Benson, Will",666181,2024,343,388,14,39.7,".187",".376",".274","0.650","0.189",".282","2",".285","72.1",20.8,6.5,16.2,"7.9","89.4","18.2",36.5,11.5,4.7,71.2,22,68.4,39
"Rojas, Josh",668942,2024,422,476,8,22.7,".225",".336",".304","0.640","0.111",".282","3",".286","66.6",0.8,7.7,29.1,"7.3","88.2","15.5",35.6,5.7,7.9,66.9,22,83.2,24.4
"Freeman, Freddie",518692,2024,542,638,22,15.7,".282",".476",".378","0.854","0.194",".306","10",".365","69.8",10.1,10.4,27.1,"6.8","89.4","14.3",43.1,9.1,8.4,73.7,26.6,83.4,20.2
"Ramírez, José",608070,2024,620,682,39,12,".279",".537",".335","0.872","0.258",".265","1",".364","71.5",18.9,12.4,28.5,"7.3","89.2","19.6",34,8.6,8.5,68.9,31.7,90.6,15.2
"Chapman, Matt",656305,2023,509,581,17,28.4,".240",".424",".330","0.754","0.184",".319","8",".328","75.5",56.7,11.6,21.8,"7.6","93.4","18.5",32.4,17.1,7.8,66.6,18.9,72.8,31.1
"Hampson, Garrett",641658,2023,221,252,3,26.6,".276",".380",".349","0.729","0.104",".379","3",".323","67.4",0.6,8.9,30.6,"6.8","86.6","11.8",37.1,3.1,5.7,59.4,25.5,79.9,26.3
"Mountcastle, Ryan",663624,2023,423,470,18,22.8,".270",".452",".328","0.780","0.182",".315","3",".333","76.3",66.5,12.8,21.5,"7.4","91.4","12",35.9,12.1,7.1,73.6,38.7,82.5,28.3
"Báez, Javier",595879,2023,510,547,9,22.9,".222",".325",".267","0.592","0.103",".274","9",".261","74.1",45,12.1,19.8,"8.5","88","9.4",28.9,5.2,7,68.2,44,78.3,32.7
"Grandal, Yasmani",518735,2023,363,405,8,21.2,".234",".339",".309","0.648","0.105",".284","4",".288","70.7",9.8,7.6,25.9,"7.5","87.9","10.8",32.3,4.7,4.7,62.1,27.4,82.5,24.9
"Winn, Masyn",691026,2023,122,137,2,19,".172",".238",".230","0.468","0.066",".196","0",".211","68.7",5,8.5,28.5,"7.3","86","12.8",26.7,2,2,59.5,25.1,80.5,21.6
"Wisely, Brett",689172,2023,120,131,2,30.5,".175",".267",".231","0.498","0.092",".241","0",".222","69.3",8.8,3.5,12.3,"6.8","85.9","17.9",31.7,7.3,7.3,71,33.5,72.8,31.6
"Hampson, Garrett",641658,2024,213,231,0,25.5,".230",".300",".275","0.575","0.070",".314","0",".255","69",2.6,7.8,24.5,"7","86","16.1",31.6,4.4,5.7,66.1,26.3,81.1,22.9
"Moore, Dylan",664238,2023,145,165,7,33.9,".207",".428",".303","0.731","0.221",".280","4",".317","72.2",23.9,11.7,22.5,"7.3","89","21.4",40.4,16.9,11.2,63.5,28.5,76.5,33.4
"Mountcastle, Ryan",663624,2024,473,507,13,22.5,".271",".425",".308","0.733","0.154",".327","1",".316","75.1",50.6,12.4,21.2,"7.5","90.8","10.4",36.2,8.8,7.9,75.8,38,83.8,25.1
"Laureano, Ramón",657656,2024,286,309,11,31.1,".259",".437",".311","0.748","0.178",".350","7",".324","72.7",30.2,9.6,20.6,"7.2","89.2","13.3",38.7,12.6,6.8,73.3,30.4,77.3,31.8
"Mead, Curtis",678554,2024,122,132,1,22.7,".238",".287",".282","0.569","0.049",".304","2",".255","74",42.7,13,22.9,"7.3","88.8","16.3",36.6,4.3,9.7,71.4,36.7,82.2,23.5
"Wade Jr., LaMonte",664774,2023,429,519,17,18.3,".256",".417",".373","0.790","0.161",".290","6",".347","72.8",26.2,12.9,27.6,"7","88.4","17.4",33.6,9.1,5.8,62,17.9,87,20.8
"Hicks, Aaron",543305,2024,57,63,1,36.5,".140",".193",".222","0.415","0.053",".212","0",".196","68.1",3.6,7.1,19,"7.4","87.5","4.7",32.4,5.9,8.8,61.7,26.6,73.6,32.8
"Trout, Mike",545361,2024,109,126,10,21.4,".220",".541",".325","0.866","0.321",".194","1",".365","75.7",56.9,12.2,19.7,"7.6","89.2","25.2",40.2,17.1,6.1,63.6,18.6,84.5,20.5
"Walker, Jordan",691023,2024,164,178,5,28.1,".201",".366",".253","0.619","0.165",".252","2",".268","77.3",72,13.6,20.5,"8.2","91.2","9.4",29.3,9.5,4.3,68.4,32.4,83.1,31.6
"Aguilar, Jesús",542583,2023,104,115,5,27,".221",".385",".281","0.666","0.164",".261","1",".282",,,,,,"86.7","16.3",33.8,6.8,5.4,57.3,34.4,81.8,23.9
"Ruiz, Esteury",665923,2023,449,497,5,19.9,".254",".345",".309","0.654","0.091",".315","16",".290","70",12.4,5.4,21.8,"7.4","82.7","9.9",32.7,2.5,3.4,69.9,34.5,79.4,25.3
"García, Adolis",666969,2024,580,637,25,27.8,".224",".400",".284","0.684","0.176",".273","6",".296","72",23,11.1,22.6,"7.9","91","15",33.7,12.5,6.6,74.9,33.6,75.1,34.3
"Alvarez, Yordan",670541,2024,552,635,35,15,".308",".567",".392","0.959","0.259",".317","10",".402","76.5",63,18.2,27.8,"7.6","93.1","18.3",35.4,14.5,7.6,68,30.5,88.5,19.9
"India, Jonathan",663697,2023,454,529,17,20.6,".244",".407",".338","0.745","0.163",".281","16",".327","71.3",25,9.5,25.6,"7.3","89.5","15.2",37.2,7.7,7.7,56.9,19.6,84.8,22
"Gurriel Jr., Lourdes",666971,2023,551,592,24,17.4,".261",".463",".309","0.772","0.202",".282","6",".329","69.9",4.6,13.2,33.6,"7.3","89.7","10.6",35.3,8.4,6.9,67.5,30.3,88.2,18.7
"Suwinski, Jack",669261,2024,247,277,9,28.5,".182",".324",".264","0.588","0.142",".225","1",".260","73.3",32.7,9.2,19.8,"7.3","88.9","12.9",28.8,8.8,4.7,67.5,22.9,81.7,27.4
"Horwitz, Spencer",687462,2024,328,381,12,18.4,".265",".433",".357","0.790","0.168",".300","7",".344","69.5",9.5,9.1,27.3,"7","88.2","13.7",37.4,8,8.4,65.4,25.7,84.5,19.4
"Vientos, Mark",668901,2024,413,454,27,29.7,".266",".516",".322","0.838","0.250",".324","3",".356","71.8",20.6,13,23.9,"7.6","91.2","11.4",34.6,14.1,7.1,68.5,32.3,75,34.4
"Hays, Austin",669720,2023,520,566,16,24.9,".275",".444",".325","0.769","0.169",".345","3",".330","71.7",13.9,9.4,21.3,"7.1","89.4","10.4",31,8.9,7.6,63.8,30.9,82.6,28.4
"Martin, Austin",668885,2024,233,257,1,18.3,".253",".352",".318","0.670","0.099",".314","2",".297","66.9",1.1,6.8,36.4,"6.9","87.2","12.7",39.4,1.1,5.3,69.6,18.4,84.3,21.4
"Mastrobuoni, Miles",670156,2024,98,106,0,16,".194",".224",".245","0.469","0.030",".232","0",".214","66.8",2.3,4.5,36.4,"6.5","87.4","13.9",32.9,2.4,6.1,56.8,26,85.2,20.3
"DeLoach, Zach",676113,2024,67,75,1,28,".209",".328",".293","0.621","0.119",".289","0",".279","70.1",8.4,6.9,15.3,"6.8","87.4","3",30.4,0,4.3,71.7,24.5,84.2,27.7
"Soderstrom, Tyler",691016,2023,125,138,3,31.2,".160",".240",".232","0.472","0.080",".212","1",".216","73",25.2,11.5,20.4,"7.6","89.3","5.7",26.5,6,3.6,70.6,29.5,77.8,32.9
"Matos, Luis",682641,2023,228,253,2,13,".250",".342",".319","0.661","0.092",".285","3",".295","72.2",21.3,11.1,30.7,"7.1","87.1","6.3",38.6,2,7.1,69.7,25.4,89.6,17.2
"Martínez, Angel",682657,2024,151,169,3,19.5,".232",".338",".298","0.636","0.106",".274","0",".282","69",6.4,5,25.7,"7.3","86.5","14.9",29.8,1.7,5.8,62,35.9,88.2,19.8
"Kemp, Tony",643393,2023,359,419,5,9.5,".209",".304",".303","0.607","0.095",".221","6",".276","65",0.9,3.1,39.7,"6.8","86.7","10",31.3,1.2,5.8,66.1,23.7,87.9,14.5
"Siani, Michael",672279,2024,298,334,2,27.5,".228",".285",".285","0.570","0.057",".322","3",".257","68.9",5.9,4.9,23.1,"7.2","84.4","5.1",32.6,2.3,2.3,64.8,29.2,74.6,29.5
"McNeil, Jeff",643446,2024,424,472,12,14.4,".238",".384",".308","0.692","0.146",".256","9",".304","68.8",5.4,6.9,27.7,"7.2","87","14.9",32.2,3.1,6.1,78.4,30.7,87.9,17.5
"Guerrero Jr., Vladimir",665489,2023,602,682,26,14.7,".264",".444",".345","0.789","0.180",".277","9",".340","75.5",52.3,14.6,23.9,"7.6","92.1","10.5",32.4,11.1,6.1,74.2,28.8,84.7,23
"Tromp, Chadwick",644433,2024,52,54,0,31.5,".250",".365",".259","0.624","0.115",".361","0",".266","72.7",33.8,6.3,21.3,"7.9","88.1","6",38.9,2.8,8.3,66.7,40.4,74.2,36.7
"Urshela, Gio",570482,2023,214,228,2,15.8,".299",".374",".329","0.703","0.075",".346","1",".307",,,,,,"87.5","8.6",34.8,3.9,4.4,73.8,37,88.6,18.8
"Rogers, Jake",668670,2024,310,337,10,29.4,".197",".352",".255","0.607","0.155",".251","3",".264","70.7",6,9.5,26.8,"7.3","89","15.7",32.9,9.9,9.4,68.3,25.9,75.2,32.7
"Monasterio, Andruw",655316,2024,125,142,1,28.2,".208",".272",".303","0.575","0.064",".298","1",".266","69.1",3.3,7.5,23,"6.7","88.1","14.9",36.5,9.4,8.2,64.3,20.5,81.3,24
"Palacios, Richie",680700,2024,264,316,5,21.2,".223",".318",".346","0.664","0.095",".280","5",".303","68.9",4.2,6.6,22.9,"7","86.2","14",36.4,3.5,4.5,70.7,23.5,81.8,24.7
"Canha, Mark",592192,2024,393,462,7,20.8,".242",".346",".344","0.690","0.104",".298","13",".310","68.4",4,8.4,29.1,"7.2","88.4","9.6",31.5,3.3,5,59.4,23.6,82.8,21.8
"Contreras, William",661388,2023,540,611,17,20.6,".289",".457",".367","0.824","0.168",".348","5",".357","73.8",44.9,16.1,27.3,"7.3","91.3","4.7",27.1,9.4,6.2,62.6,24.7,79,28
"Alonso, Pete",624413,2023,568,658,46,22.9,".217",".504",".318","0.822","0.287",".205","21",".346","75.7",56,12.5,19,"7.4","89.5","18.2",32.3,14.7,6.4,61.9,27.4,82.1,26.2
"Henderson, Gunnar",683002,2023,560,622,28,25.6,".255",".489",".325","0.814","0.234",".306","3",".346","75.4",57.3,15.9,25.7,"7.3","92","11.4",32.9,11.4,7.9,66.7,26.5,79.5,26.4
"Fitzgerald, Tyler",666149,2024,314,341,15,31.7,".280",".497",".334","0.831","0.217",".380","4",".357","70.5",7.1,7.6,22,"7.4","87.7","20.2",39.1,8.2,4.8,67.9,26.9,75.3,31.2
"Espinal, Santiago",669289,2023,230,254,2,14.2,".248",".335",".310","0.645","0.087",".285","3",".285","69.2",4.7,8.9,32.5,"7.5","87","11.4",33,1,5.1,63.7,25.3,88.1,17.6
"Ward, Taylor",621493,2023,356,409,14,19.6,".253",".421",".335","0.756","0.168",".284","8",".329","69.5",1.2,15.1,26.7,"7","90.7","14.3",34,8.2,6,66.8,23.2,87.5,21.1
"Rosario, Eguy",666703,2024,53,57,3,35.1,".245",".528",".286","0.814","0.283",".333","1",".345","72.5",26,11,23.3,"7.8","89.2","12.9",41.2,14.7,5.9,59.3,34.7,71.9,41.9
"Palacios, Joshua",641943,2024,67,78,2,15.4,".224",".343",".333","0.676","0.119",".245","1",".307","72.6",28.7,14.8,27,"7.4","89.8","3.4",21.8,3.6,3.6,68.9,22.4,76,25.9
"Hays, Austin",669720,2024,235,255,5,23.1,".255",".396",".303","0.699","0.141",".318","8",".303","72.6",24.2,13.2,24.2,"7.2","88.9","14.9",30.2,6.7,7.8,72.6,35.9,81.9,29.1
"McNeil, Jeff",643446,2023,585,648,10,10,".270",".378",".333","0.711","0.108",".288","18",".314","68.2",2.6,4.1,34.4,"6.9","86","14.4",32.1,1.3,5.7,75.9,29.9,91.9,13.5
"Alvarez, Yordan",670541,2023,410,496,31,18.5,".293",".583",".407","0.990","0.290",".306","13",".415","76.7",70.4,18.5,25.3,"7.6","93.3","17.1",35.7,18,7.1,64.7,26.1,86.5,22.4
"Williams, Alika",675961,2024,87,96,0,22.9,".207",".299",".242","0.541","0.092",".277","1",".237","69.6",2.3,7,22.5,"7","87.2","15.7",38.6,4.3,2.9,67.5,30.3,81.4,23.1
"Frazier, Clint",640449,2023,66,76,0,30.3,".197",".242",".303","0.545","0.045",".302","0",".256",,,,,,"82.5","11.4",37.2,0,9.3,69.2,20.7,80.6,28.2
"Palacios, Joshua",641943,2023,247,264,10,21.2,".239",".413",".279","0.692","0.174",".269","2",".297","71.5",21.1,13.3,27.7,"7.2","91.3","7.7",30.9,9.8,5.2,72.5,30.2,79.3,26.7
"Matos, Luis",682641,2024,150,156,5,15.4,".213",".347",".237","0.584","0.134",".221","0",".250","71.7",18.3,10.4,25.5,"7.2","86.9","14.1",29.1,3.9,7.1,68.9,40.1,92.4,15.6
"Villar, David",681584,2023,124,140,5,32.1,".145",".315",".236","0.551","0.170",".173","4",".244","69.5",4.2,4.2,8.3,"7.4","87.7","19",38.8,13.8,5,59.9,26.1,73.6,38.5
"Rizzo, Anthony",519203,2024,337,375,8,17.3,".228",".335",".301","0.636","0.107",".259","9",".285","68.5",8.1,7.5,25.8,"6.8","86.7","14.3",31,4,4.7,65.9,33.6,89.4,19.3
"Torres, Gleyber",650402,2023,596,672,25,14.6,".273",".453",".347","0.800","0.180",".288","3",".346","71.6",22.4,14.8,30.7,"7.3","89.7","15.1",37.3,7.9,7.5,68.9,25.9,83.7,21.8
"Bohm, Alec",664761,2023,558,611,20,15.4,".274",".437",".327","0.764","0.163",".296","5",".329","72",20.2,13.2,27.1,"7.4","89.4","11.1",35.1,5.7,7,68.9,30,88.1,18.1
"Olson, Matt",621566,2023,608,720,54,23.2,".283",".604",".389","0.993","0.321",".302","4",".413","74.9",49.8,13.4,23.1,"7.3","93.7","16.1",31,16.4,9.2,71.5,26,75.6,28.4
"Moreno, Gabriel",672515,2023,341,380,7,19.7,".284",".408",".339","0.747","0.124",".338","3",".325","70.3",13.3,14.2,29.6,"7.1","89.8","4.2",32.6,4.8,6.2,57.3,26.3,88,19.7
"Outman, James",681546,2024,136,156,4,35.3,".147",".265",".256","0.521","0.118",".208","4",".242","73.2",31.2,6.9,15.8,"7.9","87.6","15.3",38.3,4.9,11.1,67.3,28.2,74.5,37.1
"Cabrera, Miguel",408234,2023,334,370,4,20,".257",".353",".322","0.675","0.096",".317","2",".299","68.2",0.7,11.2,30.5,"7.4","89.1","7.4",34.2,4.2,7.6,68.3,28.2,81.8,25.6
"Azocar, José",640492,2024,73,79,0,24.1,".219",".247",".269","0.516","0.028",".296","0",".235","70.5",10.8,6.2,15.4,"7","86.5","9.8",30.9,3.6,3.6,78,49.7,81.6,29.7
"Gallagher, Cam",595956,2023,143,149,0,30.9,".126",".168",".154","0.322","0.042",".184","1",".145","68.8",2.2,1.1,17.6,"7.6","82.5","17.3",24.5,2,3.1,69.5,31.4,82.2,22.3
