"last_name, first_name","player_id","year","ab","pa","home_run","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","woba","avg_swing_speed","fast_swing_rate","blasts_swing","squared_up_swing","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","z_swing_percent","oz_swing_percent","iz_contact_percent","whiff_percent"
"Johnson, Bryce",669369,2024,63,73,0,16.4,".206",".238",".286","0.524","0.032",".255","0",".243","67.1",0,6.8,25.2,"7.1","86.1","7.4",37,0,0,73.4,27.4,89.4,18.3
"McCray, Grant",687529,2024,124,130,5,43.1,".202",".379",".238","0.617","0.177",".317","0",".266","72.7",25.8,7,14,"7.2","90.2","5.4",30.9,11.8,7.4,73.4,31.3,66.3,43.6
"Freeman, Tyler",671289,2023,153,168,4,17.9,".242",".366",".295","0.661","0.124",".275","2",".290","72.3",21.9,10,21.9,"7.4","85.8","6.2",38.9,3.2,7.1,66,29.2,87.1,17.8
"Allen, Nick",669397,2023,303,329,4,15.8,".221",".287",".263","0.550","0.066",".253","1",".245","66.2",0.6,6.8,33.3,"6.5","84.8","6.8",29,1.2,3.9,68,29.1,88.1,19.1
"Scott II, Victor",687363,2024,145,155,2,27.1,".179",".283",".219","0.502","0.104",".233","2",".221","69.1",7,9.5,26.1,"6.7","88.4","12.1",33.3,5.7,6.7,70.5,29.3,82,26.1
"Mateo, Jorge",622761,2024,192,208,5,23.1,".229",".401",".267","0.668","0.172",".275","1",".286","72.5",22.1,10.9,22.3,"7.8","88.1","14.1",30.2,4,7.4,70.3,33.4,84.3,23.1
"Pereira, Everson",677592,2023,93,103,0,38.8,".151",".194",".233","0.427","0.043",".264","2",".202","73.5",34.8,10.5,19.9,"7.7","91.9","10",39.6,7.5,9.4,78.2,26.2,66.2,43.1
"Garrett, Stone",656448,2023,234,271,9,30.3,".269",".457",".343","0.800","0.188",".365","3",".344","74.7",45,8.6,15.2,"7.9","91.1","17.3",37.6,9.6,9.6,75.1,33.6,76.2,32.6
"Julks, Corey",667452,2023,298,323,6,23.2,".245",".352",".297","0.649","0.107",".306","1",".286","71.4",10.9,8.2,20.9,"7","87.9","17",36,4.9,5.3,62.5,30.2,82,25.4
"Dalbec, Bobby",666915,2024,83,93,1,46.2,".133",".193",".217","0.410","0.060",".256","1",".194","72.3",19.9,5.1,15.4,"7.2","86","10",19.5,2.4,9.8,65.1,28.4,58.8,41.8
"Edwards, Xavier",669364,2023,78,84,0,16.7,".295",".333",".329","0.662","0.038",".359","1",".295","64",1,2.1,26.8,"6.2","82.2","10.7",31.8,1.5,3,70.7,29.9,83.6,20.5
"Westburg, Jordan",676059,2024,416,447,18,21.7,".264",".481",".312","0.793","0.217",".305","7",".340","71",11,12,27.2,"6.8","91.1","13.1",37.4,11.8,9,71.6,30.4,79.3,29.3
"Canha, Mark",592192,2023,435,507,11,15.6,".262",".400",".355","0.755","0.138",".293","17",".333","67.8",3.5,7.5,29.4,"7.3","87.9","13.1",30.9,4.7,6.6,58.9,23.9,88.7,18.3
"Cameron, Daz",663662,2024,170,186,5,27.4,".200",".329",".258","0.587","0.129",".250","1",".258","72.9",30.3,12.4,25.1,"6.8","91.6","8.6",36.4,8.3,6.6,68.3,26,81.1,28.3
"Díaz, Yandy",650490,2023,525,600,22,15.7,".330",".522",".410","0.932","0.192",".367","8",".402","73.8",41.2,17.8,30,"7.5","93.4","5.7",30.5,9.5,6.5,65.5,19.7,88.1,18.4
"Singleton, Jon",572138,2024,355,405,13,27.4,".234",".386",".321","0.707","0.152",".299","0",".312","72.1",24.2,10.3,25.2,"7.1","88.7","12.8",34.8,8.9,4.5,59.9,22.6,78.8,30.1
"Waters, Drew",671221,2023,302,337,8,31.8,".228",".377",".300","0.677","0.149",".321","5",".296","73",31.9,7.4,17.3,"6.9","87.4","17.2",38.4,10.1,7.6,73,31.8,76.9,32.5
"Hall, Darick",669742,2023,54,56,1,32.1,".167",".241",".196","0.437","0.074",".229","0",".193","72",25,2.8,8.3,"7.4","92.5","14",27.8,2.8,11.1,77.8,33,82.1,24.1
"Bogaerts, Xander",593428,2024,428,463,11,17.1,".264",".381",".307","0.688","0.117",".297","1",".300","70.7",15.3,10.7,30.8,"7.2","88.1","10.9",32.1,5.1,3.4,59.8,25.8,88.6,18.3
"Carroll, Corbin",682998,2023,565,645,25,19.4,".285",".506",".362","0.868","0.221",".325","13",".370","73.2",29.7,11.2,28.3,"6.8","90","11",32.7,7.6,7.8,65.3,28,84.8,21.6
"Soto, Juan",665742,2023,568,708,35,18.2,".275",".519",".410","0.929","0.244",".296","2",".395","74.6",48.2,20,32.2,"7.3","93.2","6.7",28.5,13,7.6,57.8,16.6,85.5,20.5
"Baty, Brett",683146,2024,153,171,4,24.6,".229",".327",".306","0.633","0.098",".290","1",".282","73.5",38,6.5,14.4,"7.6","86.6","10.3",27.7,5.4,6.3,69.2,31.8,81.9,26.2
"Pagés, Pedro",686780,2024,202,218,7,26.6,".238",".376",".281","0.657","0.138",".295","0",".286","72",23.7,8.8,21,"6.9","89","11.8",32,4.8,8.2,66.4,35,83.4,26.1
"Kiner-Falefa, Isiah",643396,2023,326,361,6,19.4,".242",".340",".306","0.646","0.098",".289","3",".286","67.5",0.8,13.1,26.6,"6.9","88.8","7.2",33.5,3.1,5,61.2,26.5,87.7,19.6
"Larnach, Trevor",663616,2024,355,400,15,22.3,".259",".434",".338","0.772","0.175",".304","3",".336","72.8",27.2,14.9,28.6,"7.4","92","12.4",36.2,10.1,8.6,63.5,25.6,84.7,27.9
"Walker, Jordan",691023,2023,420,465,16,22.4,".276",".445",".342","0.787","0.169",".331","6",".341","74.9",53.9,11.8,20.5,"7.8","89.4","10.2",33.6,7.5,7.9,72.4,33.2,81.3,30
"O'Neill, Tyler",641933,2024,411,473,31,33.6,".241",".511",".336","0.847","0.270",".305","7",".360","75.2",51.8,11.9,18.6,"7.6","90.9","20.2",34.6,17.3,7.9,65.2,26.2,75.6,34.1
"Marte, Starling",516782,2024,335,370,7,21.9,".269",".388",".327","0.715","0.119",".333","3",".313","72.4",25.5,12.7,24.3,"7.3","89.8","4.3",37.1,6.9,7.3,69.2,30.1,81,28.4
"Bouchard, Sean",656248,2024,91,108,1,30.6,".187",".297",".290","0.587","0.110",".271","2",".266","71.1",10.7,5.3,24.7,"7.3","89.8","10.7",29.5,4.9,9.8,65.7,22.2,75.4,33.7
"Vázquez, Christian",543877,2024,294,315,7,20.6,".221",".327",".248","0.575","0.106",".257","1",".250","68.3",2.8,10,31.1,"7","88.5","16.1",36.1,3.8,6.3,68.5,34.1,86,20.8
"Wong, Connor",657136,2023,371,403,9,33.3,".235",".385",".287","0.672","0.150",".341","6",".292","71.2",16.8,6.8,19.9,"7.2","89.1","15.5",34,9.1,5.4,70.7,34.5,76.2,32.3
"Duvall, Adam",594807,2023,320,353,21,31.2,".247",".531",".303","0.834","0.284",".299","6",".347","72.1",22.3,10.6,22.8,"7.6","88.8","28.9",33,13,5.6,63.8,34.1,78.8,31
"Frazier, Adam",624428,2023,412,455,13,14.9,".240",".396",".300","0.696","0.156",".258","4",".302","66.9",0.8,5.1,29.9,"7.1","85.7","15.2",40.9,3.1,3.1,67.2,28.7,88,19.2
"Toglia, Michael",669911,2023,141,152,4,32.9,".163",".284",".224","0.508","0.121",".218","1",".225","75.2",52.5,12.4,20.7,"7.6","90.2","16.7",31.9,5.5,7.7,71.8,30.3,79.1,38.8
"Benson, Will",666181,2023,287,329,11,31.3,".275",".498",".365","0.863","0.223",".391","1",".369","70.3",9.7,10.4,22,"7.4","90.2","14.6",40.5,10.3,9.2,65.9,19.4,76.2,31.5
"Turner, Justin",457759,2024,460,539,11,17.6,".259",".383",".354","0.737","0.124",".299","13",".327","65.1",0.8,4.3,27.9,"6.3","87.1","17.8",40.1,4.6,6.7,65.7,25.1,88.5,17
"Heyward, Jason",518792,2023,334,377,15,17,".269",".473",".340","0.813","0.204",".291","3",".348","73.8",36.7,10.9,23.2,"8.1","87.7","15.4",33,8.1,6.6,65.6,28.4,85.6,20.7
"Young, Jacob",696285,2023,107,121,0,18.2,".252",".336",".322","0.658","0.084",".318","1",".294","68",2.8,9.1,27.3,"7.1","86.4","1.8",31.8,0,10.2,60.8,29.9,85.2,20.9
"Jankowski, Travis",608671,2023,247,287,1,14.6,".263",".332",".357","0.689","0.069",".311","2",".312","66.4",0.6,7.1,37.1,"6.2","85.4","8.1",28.8,0,4.3,58.4,16.1,88.3,14.8
"Aranda, Jonathan",666018,2024,128,143,6,22.4,".234",".430",".308","0.738","0.196",".264","2",".320","70.1",9.2,12,28.1,"7.3","91.9","11",34,16.5,8.2,63.9,25.6,83.6,21.9
"Estrada, Thairo",642731,2024,364,381,9,19.9,".217",".343",".247","0.590","0.126",".249","5",".256","71",14.3,10,28.4,"7.2","86.2","10.5",30.3,4.8,5.9,67.5,34.9,89.9,20.5
"Davis, Henry",680779,2024,104,122,1,36.9,".144",".212",".242","0.454","0.068",".233","1",".213","72.5",25.7,3.9,14.5,"7.4","85.3","17.2",29,4.8,6.5,71.3,24.4,70.9,36.3
"Urías, Ramón",602104,2024,272,301,11,18.3,".254",".423",".322","0.745","0.169",".280","5",".325","70.5",12.4,10.6,25.7,"7.5","88.3","12.8",32.6,8.7,5.5,74.2,25.8,79.5,26.8
