"id","name","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate","year"
678662,"Tovar, Ezequiel","R",27.10560152580331,24.76370374557818,38.61516697136575,0.47673592482945804,29.28394311628967,2.1783415904863475,2024
660271,"Ohtani, Shohei","L",29.26982894344071,29.987090108527042,33.35563597077065,-9.306437201769613,26.899398001126663,-2.370430942314062,2024
621566,"Olson, Matt","L",30.527979252992623,30.048284660812588,30.423949374024982,-8.466047866180663,33.390119156156814,2.862139903164177,2024
606192,"Hernández, Teoscar","R",31.17034434083252,29.346458165499424,27.27461699228037,-0.9787893082498074,29.702244044285987,-1.432055353202026,2024
642715,"Adames, Willy","R",32.247763612475694,31.60032021561088,33.719578608038624,4.054309993292143,30.36251787662213,-1.8852457358535482,2024
683011,"Volpe, Anthony","R",30.02399045009879,28.48799723431923,24.81149223263873,1.6613623193888076,26.396160823430456,-3.627829626668335,2024
521692,"Perez, Salvador","R",29.511970118892005,27.198140724075074,34.753569078078996,-25.27618195219574,29.64851735905982,0.1365472401678005,2024
650402,"Torres, Gleyber","R",32.59272946133582,27.26137917766397,26.147849290780087,-36.293985980502455,30.838444500676587,-1.7542849606592235,2024
665926,"Giménez, Andrés","L",24.2647345293156,28.780482400225196,37.74392939258137,-3.0328799966832207,29.850552508917776,5.585817979602169,2024
592206,"Castellanos, Nick","R",28.638102556942375,27.71520633668324,28.208379557291014,-15.93715323758925,30.9330805683792,2.33287327701116,2024
677951,"Witt Jr., Bobby","R",28.422945854286223,24.041243070087347,30.490035380391056,-13.298422888474851,29.367064974281032,0.9441191199947951,2024
607043,"Nimmo, Brandon","L",26.619983017332636,31.703495501975254,28.29505588836056,-8.625704497294336,28.698371934910895,2.0783889175782555,2024
542303,"Ozuna, Marcell","R",35.30278451974568,27.50377429062531,31.268582794028486,-24.643915449237053,32.642045114320474,-2.660739405425179,2024
680776,"Duran, Jarren","L",27.3634361553339,30.604930650989267,19.489827726611733,0.14690383910730867,27.376097679898386,0.01266152456448566,2024
518692,"Freeman, Freddie","L",29.113232380979213,30.30766476596425,33.65503508576592,0.8176016344505103,26.06056239474155,-3.052669986237678,2024
683002,"Henderson, Gunnar","L",24.847507990507783,26.627578474220474,32.31175743604166,-1.8760599400023672,32.566342406694616,7.718834416186809,2024
547180,"Harper, Bryce","L",22.916899240176697,29.066542651104026,33.39323333833705,-12.456796579164122,31.815611772210364,8.89871253203368,2024
592450,"Judge, Aaron","R",29.67906662135926,33.82099347952942,31.56336587894434,-6.617851521594237,30.18504612416947,0.5059795028102059,2024
543760,"Semien, Marcus","R",26.598227233296477,23.429383127764197,32.575621873329304,-1.4181838461061878,30.933769058166508,4.335541824870024,2024
666969,"García, Adolis","R",28.511952944060734,26.29683047234657,31.249557141401265,-15.390598920752947,32.753434147771486,4.368752914703496,2024
661388,"Contreras, William","R",29.02705704575106,27.603297142522667,29.046029903704184,-0.35477814311110323,30.880613843658473,1.8535567979074266,2024
502671,"Goldschmidt, Paul","R",24.981700844367086,34.45464989184041,36.20415374877654,-3.1430293325141805,19.913737285139668,-5.137219195209312,2024
592518,"Machado, Manny","R",24.490041227543536,31.42130103586191,30.464490378895963,-37.970022778138826,31.10962338867731,6.619582161133785,2024
677594,"Rodríguez, Julio","R",23.75519846597232,30.427200943077477,28.284407160303545,1.8782427355376108,33.555577357212655,10.006564567278197,2024
701538,"Merrill, Jackson","L",26.881141251693695,27.71798552487844,24.630813424386368,2.231114044858565,26.151991327258607,-0.7291499244350952,2024
624413,"Alonso, Pete","R",24.342496560801592,28.388367492579828,33.70678764644097,1.7687235501534035,30.298120615813414,5.955624055011789,2024
678882,"Rafaela, Ceddanne","R",30.531649596607984,26.292069497566374,23.201787687793505,-25.017254293759745,33.455392623253296,3.0460613329728616,2024
650559,"De La Cruz, Bryan","R",27.706116341038772,27.2934758391323,36.43796469490186,-10.92054006831268,28.31058878977584,0.6044724487370701,2024
670623,"Paredes, Isaac","R",32.60785415815969,24.87634245235039,27.5643644425775,-39.12428143199875,38.227968236731265,5.580999332723067,2024
641857,"McMahon, Ryan","L",21.207870801260587,33.23184613271518,45.3421152798381,3.5530913121400207,22.5522468749949,1.3443760737343098,2024
673237,"Diaz, Yainer","R",29.72225787746686,28.07886249792744,31.887078223095486,-2.1143148295767342,30.968073989057842,1.2458161115909725,2024
647304,"Naylor, Josh","L",24.100902916628442,27.09655825837334,44.367030408729136,-3.844739176580351,27.376263579773678,3.275360663145225,2024
630105,"Cronenworth, Jake","L",35.83651976060934,26.086770182543084,21.684814104178905,2.5915959169472345,29.358360761465207,-6.478158999144165,2024
665489,"Guerrero Jr., Vladimir","R",27.77939717969457,29.32287443912946,28.158584383851274,-9.449976996594515,32.43012767943908,4.650730499744476,2024
665161,"Peña, Jeremy","R",28.66445749165063,28.200045517180357,27.37314028289803,-3.3381629715213275,28.075047470942355,-0.5894100207082822,2024
553993,"Suárez, Eugenio","R",23.964472830273948,24.818451400194395,26.94684344142028,-12.35024717255447,32.8224426556437,8.857969825369715,2024
682928,"Abrams, CJ","L",27.013609797618024,30.1643717014445,26.312244193167004,2.656825800327867,31.122644461749154,4.1090346641311335,2024
514888,"Altuve, Jose","R",11.245091764022744,30.049946731098693,29.19846251861801,-14.90346018038735,28.073366643368793,16.828274879346033,2024
646240,"Devers, Rafael","L",21.80579276082979,26.761784819057674,30.659908855548128,-67.38188855579051,28.75936195565243,6.953569194822649,2024
